Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,1113.0,1798.0,1182.0,3619.0,2367.0,2407.0,5273.0,1448.0,2898.0,1408.0,0.0
Production,55000.0,34000.0,49500.0,52000.0,51000.0,51000.0,32000.0,41000.0,29500.0,29750.0,0.0
Area Harvested,6900.0,6700.0,7100.0,6550.0,6300.0,6100.0,5200.0,4900.0,3700.0,3500.0,0.0
MY Imports,15.0,15.0,8.0,5.0,4.0,4.0,7.0,11.0,3.0,3.0,0.0
Total Supply,56128.0,35813.0,50690.0,55624.0,53371.0,53411.0,37280.0,42459.0,32401.0,31161.0,0.0
Total Consumption,14100.0,11700.0,14200.0,13500.0,13500.0,13800.0,12400.0,11200.0,9300.0,9300.0,0.0
Feed and Residual,9800.0,7500.0,10100.0,9500.0,9500.0,9700.0,8500.0,7500.0,6000.0,6000.0,0.0
FSI Consumption,4300.0,4200.0,4100.0,4000.0,4000.0,4100.0,3900.0,3700.0,3300.0,3300.0,0.0
MY Exports,41000.0,23000.0,34692.0,40942.0,36252.0,37244.0,22473.0,25986.0,21653.0,18963.0,0.0
Yield,536.04975,341.26685000000003,468.85355,533.891025,544.4022,562.257075,413.84305,562.700925,536.18425,571.625,0.0
Ending Stocks,1028.0,1113.0,1798.0,1182.0,3619.0,2367.0,2407.0,5273.0,1448.0,2898.0,0.0
