Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,29750.0,29500.0,41000.0,32000.0,51000.0,51000.0,52000.0,49500.0,34000.0,55000.0
Brazil,85000.0,67000.0,98500.0,82000.0,101000.0,102000.0,87000.0,116000.0,137000.0,127000.0
Canada,11606.0,13680.0,13889.0,14096.0,13885.0,13404.0,13563.0,14611.0,14539.0,15076.0
China,249764.0,264992.0,263613.0,259071.0,257174.0,260779.0,260670.0,272552.0,277200.0,288842.0
India,24173.0,22567.0,25900.0,28753.0,27715.0,28766.0,31647.0,33730.0,38085.0,35000.0
Indonesia,9000.0,10500.0,10900.0,11900.0,12000.0,12000.0,12600.0,12700.0,12900.0,12900.0
Mexico,25480.0,25971.0,27575.0,27569.0,27671.0,26658.0,27346.0,26762.0,28077.0,25500.0
Philippines,7671.0,6966.0,8087.0,7980.0,7608.0,8030.0,8352.0,8344.0,8300.0,8400.0
Russia,11325.0,13168.0,15305.0,13201.0,11415.0,14275.0,13872.0,15225.0,15832.0,17000.0
South Africa,10629.0,8214.0,17551.0,13104.0,11824.0,15844.0,16951.0,16137.0,17100.0,16800.0
Ukraine,28450.0,23333.0,27969.0,24115.0,35805.0,35887.0,30297.0,42126.0,27000.0,30500.0
