Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,138818.0,136759.0,139120.0,150015.0,138088.0,129508.0,113334.0,95484.0,77682.0,66324.0,0.0
Production,136590.0,137723.0,136946.0,134250.0,133600.0,131441.0,134241.0,133188.0,132555.0,128235.0,0.0
Area Harvested,23627.0,23519.0,23568.0,23380.0,23728.0,24266.0,24478.0,24666.0,24567.0,24443.0,0.0
MY Imports,12500.0,13282.0,9568.0,10618.0,5376.0,3145.0,3937.0,4410.0,3476.0,1926.0,0.0
Total Supply,287908.0,287764.0,285634.0,294883.0,277064.0,264094.0,251512.0,233082.0,213713.0,196485.0,0.0
Total Consumption,153500.0,148000.0,148000.0,155000.0,126000.0,125000.0,121000.0,119000.0,117500.0,118000.0,0.0
Feed and Residual,37000.0,33000.0,35000.0,45000.0,19000.0,20000.0,17500.0,17000.0,16000.0,17000.0,0.0
FSI Consumption,116500.0,115000.0,113000.0,110000.0,107000.0,105000.0,103500.0,102000.0,101500.0,101000.0,0.0
Yield,5.7811,5.8558,5.8107,5.7421,5.6305,5.4167,5.4841,5.3997,5.3957,5.2463,0.0
MY Exports,900.0,946.0,875.0,763.0,1049.0,1006.0,1004.0,748.0,729.0,803.0,0.0
Ending Stocks,133508.0,138818.0,136759.0,139120.0,150015.0,138088.0,129508.0,113334.0,95484.0,77682.0,0.0
