Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,9500.0,19500.0,27800.0,24700.0,16992.0,13230.0,9800.0,14540.0,17220.0,17830.0,0.0
Production,110554.0,104000.0,109586.0,107860.0,103600.0,99870.0,98510.0,87000.0,86527.0,95850.0,0.0
Area Harvested,31401.0,30459.0,31125.0,31357.0,29319.0,29651.0,30785.0,30220.0,31466.0,30473.0,0.0
MY Imports,250.0,53.0,29.0,18.0,20.0,17.0,1166.0,5995.0,471.0,51.0,0.0
Total Supply,120304.0,123553.0,137415.0,132578.0,120612.0,113117.0,109476.0,107535.0,104218.0,113731.0,0.0
Total Consumption,109904.0,108676.0,109882.0,102217.0,95403.0,95629.0,95677.0,97234.0,88548.0,93102.0,0.0
Feed and Residual,6750.0,6500.0,7000.0,6500.0,6000.0,5000.0,5000.0,4700.0,4200.0,4500.0,0.0
FSI Consumption,103154.0,102176.0,102882.0,95717.0,89403.0,90629.0,90677.0,92534.0,84348.0,88602.0,0.0
Yield,3.5207,3.4144,3.5208,3.4397,3.5335,3.3682,3.1999,2.8789,2.7499,3.1454,0.0
MY Exports,400.0,5377.0,8033.0,2561.0,509.0,496.0,569.0,501.0,1130.0,3409.0,0.0
Ending Stocks,10000.0,9500.0,19500.0,27800.0,24700.0,16992.0,13230.0,9800.0,14540.0,17220.0,0.0
