Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,13930.0,11300.0,18400.0,18500.0,19500.0,19750.0,17640.0,22150.0,12550.0,15000.0
Australia,23743.0,22275.0,31819.0,20941.0,17598.0,14480.0,31923.0,36237.0,40545.0,25500.0
Brazil,6000.0,5540.0,6730.0,4264.0,5428.0,5200.0,6250.0,7700.0,10600.0,8400.0
Canada,29442.0,27647.0,32140.0,30377.0,32352.0,32670.0,35437.0,22422.0,34335.0,31954.0
China,128235.0,132555.0,133188.0,134241.0,131441.0,133600.0,134250.0,136946.0,137723.0,136590.0
India,95850.0,86527.0,87000.0,98510.0,99870.0,103600.0,107860.0,109586.0,104000.0,110554.0
Iran,13000.0,14500.0,14500.0,12700.0,14500.0,15550.0,15000.0,12000.0,13200.0,14000.0
Kazakhstan,12996.0,13748.0,14985.0,14802.0,13947.0,11452.0,14256.0,11814.0,16404.0,12000.0
Pakistan,25979.0,25086.0,25633.0,26674.0,25076.0,24349.0,25248.0,27464.0,26400.0,28000.0
Russia,59080.0,61044.0,72529.0,85167.0,71685.0,73610.0,85352.0,75158.0,92000.0,91000.0
Turkey,15250.0,19500.0,17250.0,21000.0,19000.0,17500.0,18250.0,16000.0,17250.0,19500.0
Ukraine,24750.0,27274.0,26791.0,26981.0,25057.0,29171.0,25420.0,33007.0,21500.0,23400.0
