Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,14638.0,12088.0,11380.0,7228.0,7778.0,12010.0,10823.0,5604.0,6287.0,5177.0,0.0
Production,91000.0,92000.0,75158.0,85352.0,73610.0,71685.0,85167.0,72529.0,61044.0,59080.0,0.0
Area Harvested,28800.0,29000.0,27630.0,28683.0,27312.0,26344.0,27370.0,27004.0,25577.0,23636.0,0.0
MY Imports,300.0,300.0,300.0,400.0,325.0,446.0,467.0,505.0,819.0,330.0,0.0
Total Supply,105938.0,104388.0,86838.0,92980.0,81713.0,84141.0,96457.0,78638.0,68150.0,64587.0,0.0
Total Consumption,43000.0,42250.0,41750.0,42500.0,40000.0,40500.0,43000.0,40000.0,37000.0,35500.0,0.0
Feed and Residual,20000.0,19000.0,18500.0,19000.0,17000.0,18000.0,20000.0,17000.0,14000.0,13000.0,0.0
FSI Consumption,23000.0,23250.0,23250.0,23500.0,23000.0,22500.0,23000.0,23000.0,23000.0,22500.0,0.0
Yield,3.1597,3.1724,2.7202,2.9757,2.6952,2.7211,3.1117,2.6859,2.3867,2.4996,0.0
MY Exports,51000.0,47500.0,33000.0,39100.0,34485.0,35863.0,41447.0,27815.0,25546.0,22800.0,0.0
Ending Stocks,11938.0,14638.0,12088.0,11380.0,7228.0,7778.0,12010.0,10823.0,5604.0,6287.0,0.0
