Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,16519.0,13310.0,10698.0,13110.0,15798.0,17897.0,13551.0,16744.0,16733.0,13976.0,0.0
Production,134300.0,134185.0,138160.0,126684.0,138799.0,123124.0,136681.0,130986.0,160480.0,156912.0,0.0
Area Harvested,24220.0,24383.0,24294.0,22972.0,24362.0,23774.0,24368.0,25409.0,26829.0,26747.0,0.0
MY Imports,11000.0,12103.0,4629.0,5390.0,5551.0,5763.0,6060.0,6287.0,6928.0,5977.0,0.0
Total Supply,161819.0,159598.0,153487.0,145184.0,160148.0,146784.0,156292.0,154017.0,184141.0,176865.0,0.0
Total Consumption,110000.0,108000.0,108250.0,104750.0,107250.0,106300.0,113500.0,112100.0,129850.0,124677.0,0.0
Feed and Residual,45500.0,44000.0,45000.0,42500.0,45500.0,44000.0,50000.0,48500.0,59000.0,55000.0,0.0
FSI Consumption,64500.0,64000.0,63250.0,62250.0,61750.0,62300.0,63500.0,63600.0,70850.0,69677.0,0.0
Yield,5.545,5.5032,5.687,5.5147,5.6974,5.1789,5.609,5.1551,5.9816,5.8665,0.0
MY Exports,36500.0,35079.0,31927.0,29736.0,39788.0,24686.0,24895.0,28366.0,34760.0,35455.0,0.0
Ending Stocks,15319.0,16519.0,13310.0,10698.0,13110.0,15798.0,17897.0,13551.0,19531.0,16733.0,0.0
