Commodity/Category,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Copra,36.0,46.0,56.0,48.0,52.0,79.0,65.0,68.0,53.0,75.0,0.0
Cottonseed,1540.0,1533.0,1491.0,1655.0,1678.0,1896.0,1994.0,1406.0,894.0,1736.0,0.0
Palm Kernel,290.0,263.0,293.0,175.0,183.0,265.0,230.0,255.0,251.0,289.0,0.0
Peanut,4388.0,4528.0,5113.0,5068.0,4705.0,5078.0,5167.0,4275.0,3316.0,4211.0,0.0
Rapeseed,7341.0,7848.0,4483.0,6365.0,7644.0,9744.0,8143.0,5308.0,6366.0,7371.0,0.0
Soybean,114596.0,101870.0,98028.0,100263.0,95528.0,114621.0,99995.0,95703.0,79550.0,79305.0,0.0
Sunflowerseed,3145.0,4021.0,8004.0,2459.0,2880.0,2777.0,3097.0,3664.0,2945.0,2971.0,0.0
OILSEEDS,131336.0,120109.0,117468.0,116033.0,112670.0,134460.0,118691.0,110679.0,93375.0,95958.0,0.0
Soybean Meal,15416.0,13695.0,16839.0,16556.0,17004.0,16620.0,16977.0,15429.0,14946.0,15003.0,0.0
Copra Meal,35.0,35.0,39.0,41.0,67.0,110.0,169.0,123.0,118.0,129.0,0.0
Cottonseed Meal,125.0,131.0,104.0,118.0,135.0,154.0,285.0,224.0,155.0,218.0,0.0
Palm Kernel Meal,685.0,610.0,691.0,830.0,695.0,606.0,643.0,484.0,402.0,576.0,0.0
Peanut Meal,31.0,29.0,36.0,27.0,37.0,48.0,32.0,31.0,53.0,27.0,0.0
Rapeseed Meal,1508.0,1237.0,1495.0,1221.0,1410.0,1247.0,1481.0,1402.0,1151.0,970.0,0.0
Sunflowerseed Meal,1697.0,1847.0,1084.0,1259.0,2066.0,1994.0,1784.0,1472.0,1423.0,1517.0,0.0
Fish Meal,196.0,219.0,263.0,193.0,255.0,242.0,248.0,253.0,272.0,266.0,0.0
PROTEIN MEALS,19693.0,17803.0,20551.0,20245.0,21669.0,21021.0,21619.0,19418.0,18520.0,18706.0,0.0
Palm Oil,16192.0,16983.0,16126.0,14944.0,15910.0,14947.0,12993.0,10405.0,8634.0,10846.0,0.0
Soybean Oil,5343.0,4958.0,4793.0,5531.0,5520.0,4904.0,4416.0,4349.0,4115.0,4668.0,0.0
Rapeseed Oil,3501.0,3234.0,2603.0,3462.0,2872.0,3001.0,3397.0,4250.0,5707.0,6683.0,0.0
Sunflowerseed Oil,2858.0,3119.0,2606.0,1980.0,2922.0,2418.0,2611.0,2619.0,2042.0,2593.0,0.0
Palm Kernel Oil,938.0,893.0,953.0,992.0,1128.0,1042.0,1105.0,888.0,836.0,829.0,0.0
Peanut Oil,373.0,386.0,344.0,304.0,404.0,422.0,527.0,395.0,273.0,252.0,0.0
Cottonseed Oil,154.0,176.0,158.0,196.0,222.0,204.0,214.0,162.0,150.0,230.0,0.0
Coconut Oil,717.0,739.0,850.0,796.0,638.0,696.0,730.0,467.0,544.0,443.0,0.0
Olive Oil,330.0,389.0,655.0,587.0,850.0,883.0,725.0,331.0,623.0,391.0,0.0
VEGETABLE OILS,30406.0,30877.0,29088.0,28792.0,30466.0,28517.0,26718.0,23866.0,22924.0,26935.0,0.0
