Commodity/Category,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Copra,146.0,111.0,123.0,97.0,275.0,180.0,164.0,167.0,152.0,116.0,0.0
Cottonseed,1281.0,1471.0,1270.0,961.0,883.0,836.0,893.0,861.0,734.0,725.0,0.0
Palm Kernel,49.0,45.0,124.0,58.0,76.0,68.0,163.0,89.0,44.0,42.0,0.0
Peanut,4848.0,4660.0,4424.0,5059.0,5014.0,3888.0,3524.0,3927.0,3633.0,3419.0,0.0
Rapeseed,17143.0,20615.0,15344.0,18138.0,16012.0,14678.0,16595.0,16145.0,14399.0,15105.0,0.0
Soybean,170941.0,171663.0,154218.0,165182.0,165821.0,149222.0,153403.0,147736.0,132837.0,126442.0,0.0
Sunflowerseed,2944.0,4041.0,3952.0,2900.0,3687.0,3213.0,2756.0,2683.0,2132.0,1675.0,0.0
OILSEEDS,197352.0,202606.0,179455.0,192395.0,191768.0,172085.0,177498.0,171608.0,153931.0,147524.0,0.0
Soybean Meal,69836.0,66960.0,68830.0,69434.0,67942.0,68052.0,65795.0,65405.0,65851.0,64638.0,0.0
Copra Meal,680.0,557.0,675.0,547.0,432.0,683.0,711.0,535.0,579.0,743.0,0.0
Cottonseed Meal,316.0,283.0,452.0,412.0,419.0,448.0,510.0,419.0,322.0,358.0,0.0
Palm Kernel Meal,8009.0,7777.0,7870.0,7581.0,7831.0,7918.0,7358.0,6749.0,6437.0,6598.0,0.0
Peanut Meal,157.0,176.0,180.0,129.0,182.0,124.0,96.0,159.0,54.0,50.0,0.0
Rapeseed Meal,9302.0,9565.0,7647.0,8225.0,7722.0,7217.0,6675.0,6255.0,5695.0,6068.0,0.0
Sunflowerseed Meal,9604.0,8905.0,7749.0,8137.0,8837.0,8169.0,7162.0,7612.0,6242.0,5871.0,0.0
Fish Meal,2809.0,2722.0,2847.0,2949.0,2672.0,2649.0,2685.0,2592.0,2214.0,2283.0,0.0
PROTEIN MEALS,100713.0,96945.0,96250.0,97414.0,96037.0,95260.0,90992.0,89726.0,87394.0,86609.0,0.0
Palm Oil,50553.0,49385.0,43970.0,48536.0,48355.0,51491.0,48661.0,48944.0,43789.0,47326.0,0.0
Soybean Oil,11525.0,11525.0,12322.0,12611.0,12384.0,11473.0,10780.0,11452.0,11834.0,11191.0,0.0
Rapeseed Oil,7310.0,6423.0,5289.0,6419.0,5874.0,5263.0,4834.0,4638.0,4171.0,4066.0,0.0
Sunflowerseed Oil,13824.0,14088.0,11076.0,11327.0,13471.0,11504.0,10324.0,10752.0,8206.0,7412.0,0.0
Palm Kernel Oil,3157.0,2983.0,2776.0,3210.0,3286.0,3401.0,3121.0,3098.0,3024.0,3239.0,0.0
Peanut Oil,445.0,413.0,351.0,478.0,319.0,313.0,285.0,277.0,250.0,260.0,0.0
Cottonseed Oil,94.0,107.0,125.0,97.0,115.0,100.0,96.0,97.0,72.0,147.0,0.0
Coconut Oil,1960.0,2146.0,2279.0,1709.0,1882.0,2136.0,1762.0,1786.0,1579.0,1941.0,0.0
Olive Oil,1018.0,1200.0,1410.0,1361.0,1468.0,1179.0,1122.0,967.0,915.0,969.0,0.0
VEGETABLE OILS,89886.0,88270.0,79598.0,85748.0,87154.0,86860.0,80985.0,82011.0,73840.0,76551.0,0.0
