Commodity/Category,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Copra,6168.0,6142.0,6189.0,5908.0,6156.0,6329.0,6138.0,5643.0,5336.0,5518.0,0.0
Cottonseed,44255.0,45545.0,44183.0,44570.0,46146.0,44688.0,46978.0,41057.0,38810.0,47170.0,0.0
Palm Kernel,20917.0,20318.0,19455.0,19418.0,19766.0,19889.0,19153.0,17716.0,16226.0,16906.0,0.0
Peanut,59412.0,58663.0,61084.0,59517.0,57195.0,55361.0,54264.0,52378.0,48763.0,48252.0,0.0
Rapeseed,110966.0,113329.0,96034.0,99038.0,95883.0,96259.0,96833.0,92383.0,90901.0,93106.0,0.0
Soybean,669194.0,638266.0,616190.0,630245.0,621345.0,609474.0,593679.0,575665.0,529346.0,509658.0,0.0
Sunflowerseed,62346.0,64249.0,63110.0,54448.0,59916.0,56312.0,53982.0,53729.0,45781.0,44200.0,0.0
OILSEEDS,973258.0,946512.0,906245.0,913144.0,906407.0,888312.0,871027.0,838571.0,775163.0,764810.0,0.0
Soybean Meal,338984.0,326574.0,330461.0,330715.0,325547.0,315532.0,311954.0,303306.0,294755.0,281708.0,0.0
Copra Meal,2621.0,2615.0,2588.0,2586.0,2449.0,2750.0,2812.0,2409.0,2390.0,2556.0,0.0
Cottonseed Meal,15479.0,15308.0,15178.0,15337.0,15813.0,15104.0,15752.0,13681.0,13631.0,15904.0,0.0
Palm Kernel Meal,18772.0,18904.0,17950.0,17772.0,17964.0,18088.0,17126.0,15880.0,14627.0,15587.0,0.0
Peanut Meal,7905.0,7858.0,8051.0,7972.0,7797.0,7325.0,7290.0,7179.0,6657.0,6625.0,0.0
Rapeseed Meal,58044.0,57843.0,51039.0,51301.0,49066.0,48213.0,47592.0,46619.0,45558.0,45896.0,0.0
Sunflowerseed Meal,34182.0,32730.0,29713.0,29846.0,32317.0,30827.0,28290.0,28035.0,24046.0,23124.0,0.0
Fish Meal,8515.0,8364.0,8799.0,8557.0,7982.0,8094.0,8101.0,8210.0,7213.0,7423.0,0.0
PROTEIN MEALS,484502.0,470196.0,463779.0,464086.0,458935.0,445933.0,438917.0,425319.0,408877.0,398823.0,0.0
Palm Oil,144808.0,140882.0,129604.0,136037.0,135107.0,137045.0,126931.0,119787.0,111377.0,115576.0,0.0
Soybean Oil,77643.0,74567.0,76339.0,76628.0,74998.0,71680.0,69608.0,69337.0,68062.0,63649.0,0.0
Rapeseed Oil,43603.0,42195.0,37831.0,38554.0,37138.0,36596.0,37417.0,38028.0,38377.0,37854.0,0.0
Sunflowerseed Oil,37200.0,36729.0,31285.0,31539.0,35300.0,31913.0,30337.0,29733.0,25319.0,24242.0,0.0
Palm Kernel Oil,12955.0,12655.0,11974.0,12490.0,12576.0,12679.0,11998.0,11139.0,10435.0,11035.0,0.0
Peanut Oil,7121.0,7021.0,7038.0,7221.0,6916.0,6666.0,6489.0,6184.0,5892.0,5857.0,0.0
Cottonseed Oil,5202.0,5159.0,5151.0,5199.0,5340.0,5063.0,5259.0,4582.0,4623.0,5376.0,0.0
Coconut Oil,6407.0,6492.0,6716.0,6165.0,6145.0,6371.0,5911.0,5460.0,5250.0,5560.0,0.0
Olive Oil,3828.0,4223.0,5181.0,4990.0,5350.0,4989.0,4709.0,4045.0,4411.0,4108.0,0.0
VEGETABLE OILS,338767.0,329923.0,311119.0,318823.0,318870.0,313002.0,298659.0,288295.0,273746.0,273257.0,0.0
