Commodity/Category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Copra,0.0,5316.0,5128.0,5455.0,5939.0,6060.0,5924.0,5775.0,6066.0,6029.0,6051.0
Cottonseed,0.0,44671.0,36380.0,39154.0,44700.0,41961.0,43445.0,42053.0,41505.0,42678.0,41538.0
Palm Kernel,0.0,16549.0,15882.0,17395.0,18718.0,19497.0,19357.0,19091.0,19137.0,19870.0,20506.0
Peanut,0.0,41776.0,41261.0,45878.0,46925.0,46676.0,47747.0,50487.0,51967.0,49383.0,50459.0
Rapeseed,0.0,70990.0,69403.0,70165.0,75797.0,73480.0,70321.0,74737.0,75829.0,88787.0,87103.0
Soybean,0.0,321514.0,316137.0,350878.0,343822.0,363513.0,341430.0,369222.0,360410.0,375397.0,398976.0
Sunflowerseed,0.0,39249.0,40699.0,48330.0,47935.0,50324.0,53796.0,48833.0,56856.0,52388.0,55544.0
OILSEEDS,0.0,540065.0,524890.0,577255.0,583836.0,601511.0,582020.0,610198.0,611770.0,634532.0,660177.0
Soybean Meal,0.0,208685.0,216406.0,226358.0,232832.0,234329.0,245604.0,248351.0,246752.0,246819.0,258592.0
Copra Meal,0.0,1747.0,1702.0,1785.0,1948.0,1998.0,1910.0,1903.0,1966.0,1953.0,1973.0
Cottonseed Meal,0.0,15423.0,13163.0,13251.0,15190.0,14457.0,15313.0,14910.0,14778.0,14964.0,15055.0
Palm Kernel Meal,0.0,8525.0,8217.0,8929.0,9675.0,10085.0,10144.0,9977.0,9858.0,10336.0,10647.0
Peanut Meal,0.0,6569.0,6611.0,6987.0,7202.0,7194.0,7616.0,7840.0,7892.0,7701.0,7764.0
Rapeseed Meal,0.0,38985.0,38882.0,39102.0,39681.0,39559.0,39812.0,41521.0,42149.0,47021.0,47776.0
Sunflowerseed Meal,0.0,16173.0,16537.0,19491.0,20007.0,20933.0,21766.0,20200.0,21157.0,23053.0,23122.0
Fish Meal,0.0,4685.0,4505.0,4880.0,4802.0,4769.0,4650.0,4891.0,5009.0,4782.0,4917.0
PROTEIN MEALS,0.0,300792.0,306023.0,320783.0,331337.0,333324.0,346815.0,349593.0,349561.0,356629.0,369846.0
Palm Oil,0.0,62090.0,58746.0,65571.0,70511.0,74165.0,73111.0,73277.0,72964.0,77563.0,79464.0
Soybean Oil,0.0,49362.0,51654.0,53947.0,55294.0,56145.0,58551.0,59314.0,59271.0,59121.0,61912.0
Rapeseed Oil,0.0,27621.0,27567.0,27813.0,28330.0,28019.0,28336.0,29355.0,29240.0,32636.0,33292.0
Sunflowerseed Oil,0.0,14968.0,15403.0,18293.0,18569.0,19588.0,21149.0,18967.0,19620.0,21681.0,21804.0
Palm Kernel Oil,0.0,7285.0,6965.0,7610.0,8226.0,8566.0,8508.0,8427.0,8362.0,8792.0,9029.0
Peanut Oil,0.0,5359.0,5391.0,5680.0,5849.0,5842.0,6181.0,6374.0,6441.0,6286.0,6329.0
Cottonseed Oil,0.0,5098.0,4332.0,4377.0,5006.0,4743.0,5019.0,4878.0,4847.0,4905.0,4942.0
Coconut Oil,0.0,3306.0,3202.0,3378.0,3692.0,3786.0,3614.0,3584.0,3733.0,3709.0,3758.0
Olive Oil,0.0,2406.0,3119.0,2494.0,3285.0,3160.0,3153.0,2927.0,3306.0,2486.0,2504.0
VEGETABLE OILS,0.0,177495.0,176379.0,189163.0,198762.0,204014.0,207622.0,207103.0,207784.0,217179.0,223034.0
