Country,Market Year,Calendar Year,Month,Area Harvested,Beginning Stocks,Ending Stocks,FSI Consumption,Feed and Residual,MY Exports,MY Imports,Production,TY Exports,TY Imp. from U.S.,TY Imports,Total Consumption,Total Distribution,Total Supply,Yield
WORLD,2014,2024,1,188822.0,214555.0,279681.0,383215.0,592162.0,142718.0,125004.0,1058217.0,128806.0,46812.0,125745.0,975377.0,1397776.0,1397776.0,5.6043
WORLD,2015,2024,1,188282.0,279681.0,311720.0,388954.0,614170.0,120695.0,139942.0,1015916.0,145752.0,51084.0,138893.0,1003124.0,1435539.0,1435539.0,5.3957
WORLD,2016,2024,1,196837.0,311868.0,351980.0,405494.0,659193.0,161881.0,138450.0,1128230.0,143579.0,55682.0,142388.0,1064687.0,1578548.0,1578548.0,5.7318
WORLD,2017,2024,1,193129.0,351980.0,341607.0,422256.0,673133.0,149476.0,152884.0,1081608.0,154070.0,63663.0,152188.0,1095389.0,1586472.0,1586472.0,5.6004
WORLD,2018,2024,1,192513.0,341607.0,323097.0,426406.0,704100.0,182580.0,166413.0,1128163.0,173587.0,49419.0,167939.0,1130506.0,1636183.0,1636183.0,5.8602
WORLD,2019,2024,1,193548.0,323097.0,309510.0,416863.0,713890.0,172394.0,167687.0,1121873.0,175878.0,47064.0,169683.0,1130753.0,1612657.0,1612657.0,5.7964
WORLD,2020,2024,1,198433.0,309510.0,292944.0,421775.0,725499.0,182728.0,184751.0,1128685.0,184082.0,68359.0,179776.0,1147274.0,1622946.0,1622946.0,5.688
WORLD,2021,2024,1,206158.0,292944.0,310518.0,433017.0,743164.0,206596.0,184453.0,1215898.0,193688.0,62862.0,186618.0,1176181.0,1693295.0,1693295.0,5.8979
WORLD,2022,2024,1,200404.0,310518.0,300556.0,428732.0,728260.0,180812.0,172211.0,1155631.0,180516.0,42760.0,172414.0,1156992.0,1638360.0,1638360.0,5.7665
WORLD,2023,2024,1,204002.0,300556.0,325217.0,437215.0,763731.0,200886.0,190763.0,1235730.0,198469.0,0.0,192083.0,1200946.0,1727049.0,1727049.0,6.0574
