Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,SME,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,2014,2024,1,136.0,0.0,678.0,3.0,686.0,5263.0,129.0,0.3319,1669.0,10.0,5.0,0.0,743.0,0.0,0.0,673.0,1747.0,753.5535,2556.0,1684.0,2556.0
WORLD,2015,2024,1,129.0,0.0,538.0,0.0,567.0,5089.0,118.0,0.3344,1681.0,10.0,2.0,0.0,579.0,0.0,0.0,559.0,1702.0,758.9715,2390.0,1693.0,2390.0
WORLD,2016,2024,1,118.0,0.0,593.0,0.0,489.0,5369.0,123.0,0.3325,1728.0,20.0,3.0,0.0,535.0,0.0,0.0,506.0,1785.0,780.192,2409.0,1751.0,2409.0
WORLD,2017,2024,1,123.0,0.0,763.0,0.0,714.0,5864.0,169.0,0.3322,1909.0,20.0,3.0,2.0,711.0,0.0,0.0,741.0,1948.0,861.9135,2812.0,1932.0,2812.0
WORLD,2018,2024,1,169.0,0.0,587.0,0.0,569.0,6011.0,110.0,0.3324,1935.0,20.0,2.0,0.0,683.0,0.0,0.0,583.0,1998.0,873.6525,2750.0,1957.0,2750.0
WORLD,2019,2024,1,110.0,0.0,421.0,0.0,618.0,5743.0,67.0,0.3326,1926.0,22.0,2.0,0.0,432.0,0.0,0.0,429.0,1910.0,869.589,2449.0,1950.0,2449.0
WORLD,2020,2024,1,67.0,0.0,556.0,0.0,616.0,5693.0,41.0,0.3343,1972.0,23.0,3.0,0.0,547.0,0.0,0.0,616.0,1903.0,890.358,2586.0,1998.0,2586.0
WORLD,2021,2024,1,41.0,0.0,544.0,0.0,663.0,5930.0,39.0,0.3315,1861.0,10.0,3.0,0.0,675.0,0.0,0.0,581.0,1966.0,840.2415,2588.0,1874.0,2588.0
WORLD,2022,2024,1,39.0,0.0,547.0,0.0,668.0,5892.0,35.0,0.3315,2010.0,10.0,3.0,0.0,557.0,0.0,0.0,623.0,1953.0,907.515,2615.0,2023.0,2615.0
WORLD,2023,2024,1,35.0,0.0,640.0,0.0,608.0,5961.0,35.0,0.331,1893.0,10.0,3.0,0.0,680.0,0.0,0.0,613.0,1973.0,854.6895,2621.0,1906.0,2621.0
