Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Catch For Reduction,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,SME,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,2014,2024,1,232.0,61.0,2307.0,134.0,2521.0,16181.0,266.0,,4824.0,0.0,50.0,212.0,2283.0,98.0,137.0,2506.0,4685.0,6978.22,7423.0,4874.0,7423.0
WORLD,2015,2024,1,266.0,34.0,2213.0,152.0,2441.0,14623.0,272.0,,4677.0,0.0,50.0,194.0,2214.0,65.0,156.0,2442.0,4505.0,6766.095,7213.0,4727.0,7213.0
WORLD,2016,2024,1,272.0,52.0,2592.0,174.0,3058.0,16289.0,253.0,,5315.0,0.0,50.0,146.0,2592.0,162.0,178.0,3058.0,4880.0,7680.175,8210.0,5365.0,8210.0
WORLD,2017,2024,1,253.0,50.0,2685.0,176.0,3046.0,16802.0,248.0,,5118.0,0.0,50.0,190.0,2685.0,168.0,179.0,3046.0,4802.0,7395.51,8101.0,5168.0,8101.0
WORLD,2018,2024,1,248.0,43.0,2649.0,193.0,3075.0,16434.0,242.0,,5153.0,0.0,50.0,230.0,2649.0,163.0,194.0,3077.0,4769.0,7446.085,8094.0,5203.0,8094.0
WORLD,2019,2024,1,242.0,57.0,2672.0,155.0,3092.0,16769.0,255.0,,4980.0,0.0,75.0,201.0,2672.0,211.0,155.0,3090.0,4650.0,7196.1,7982.0,5055.0,7982.0
WORLD,2020,2024,1,255.0,72.0,2949.0,133.0,3411.0,16936.0,193.0,,5355.0,0.0,60.0,246.0,2949.0,221.0,134.0,3411.0,4891.0,7737.975,8557.0,5415.0,8557.0
WORLD,2021,2024,1,193.0,60.0,2851.0,95.0,3605.0,17056.0,263.0,,5624.0,0.0,65.0,233.0,2847.0,189.0,96.0,3597.0,5009.0,8126.68,8799.0,5689.0,8799.0
WORLD,2022,2024,1,263.0,66.0,2662.0,122.0,3306.0,17064.0,219.0,,5353.0,0.0,70.0,239.0,2722.0,188.0,123.0,3319.0,4782.0,7735.085,8364.0,5423.0,8364.0
WORLD,2023,2024,1,219.0,66.0,2974.0,127.0,3454.0,17179.0,196.0,,5435.0,0.0,75.0,249.0,2809.0,192.0,128.0,3379.0,4917.0,7853.575,8515.0,5510.0,8515.0
