Country,Market Year,Calendar Year,Month,Area Harvested (Cotton),Area Planted (Cotton),Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Seed to Lint Ratio,Total Distribution,Total Dom. Cons.,Total Supply,Yield
WORLD,1966,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,216.0,216.0,216.0,0.0
WORLD,1967,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,246.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,246.0,246.0,246.0,0.0
WORLD,1968,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,244.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,244.0,244.0,244.0,0.0
WORLD,1969,2024,1,30829.0,0.0,181.0,0.0,382.0,18.0,394.0,16917.0,119.0,3301.0,0.0,0.0,381.0,0.0,0.0,389.0,20148.0,0.0,20718.0,20218.0,20718.0,0.6535
WORLD,1970,2024,1,30274.0,0.0,119.0,0.0,297.0,30.0,331.0,16336.0,264.0,3234.0,0.0,0.0,299.0,0.0,0.0,339.0,19675.0,0.0,20133.0,19570.0,20133.0,0.6499
WORLD,1971,2024,1,31396.0,0.0,264.0,0.0,226.0,1.0,284.0,18057.0,342.0,3555.0,0.0,0.0,226.0,0.0,0.0,285.0,21631.0,0.0,22180.0,21612.0,22180.0,0.689
WORLD,1972,2024,1,31647.0,0.0,342.0,0.0,172.0,9.0,240.0,18943.0,549.0,3320.0,0.0,0.0,167.0,0.0,0.0,237.0,22400.0,0.0,22979.0,22263.0,22979.0,0.7078
WORLD,1973,2024,1,30828.0,0.0,549.0,0.0,202.0,42.0,198.0,19139.0,504.0,3767.0,0.0,0.0,202.0,0.0,0.0,201.0,22862.0,0.0,23612.0,22906.0,23612.0,0.7416
WORLD,1974,2024,1,31324.0,0.0,504.0,0.0,139.0,6.0,146.0,18847.0,651.0,3997.0,0.0,0.0,138.0,0.0,0.0,144.0,22985.0,0.0,23633.0,22844.0,23633.0,0.7338
WORLD,1975,2024,1,28103.0,0.0,651.0,0.0,226.0,62.0,250.0,16558.0,235.0,3765.0,0.0,0.0,216.0,0.0,0.0,235.0,19888.0,0.0,20774.0,20323.0,20774.0,0.7077
WORLD,1976,2024,1,28613.0,0.0,235.0,0.0,149.0,11.0,174.0,16556.0,318.0,3459.0,0.0,0.0,158.0,0.0,0.0,192.0,20064.0,0.0,20491.0,20015.0,20491.0,0.7012
WORLD,1977,2024,1,31458.0,0.0,318.0,0.0,127.0,42.0,143.0,18258.0,851.0,3901.0,0.0,0.0,121.0,0.0,0.0,128.0,22685.0,0.0,23131.0,22159.0,23131.0,0.7211
WORLD,1978,2024,1,30993.0,0.0,851.0,0.0,94.0,4.0,88.0,17748.0,534.0,4024.0,0.0,0.0,105.0,0.0,0.0,102.0,21458.0,0.0,22411.0,21772.0,22411.0,0.6923
WORLD,1979,2024,1,30528.0,12.0,534.0,0.0,318.0,179.0,269.0,18417.0,1105.0,4212.0,0.0,0.0,214.0,0.0,0.0,166.0,23248.0,0.0,23948.0,22629.0,23948.0,0.7615
WORLD,1980,2024,1,30702.0,0.0,1105.0,0.0,180.0,20.0,108.0,19424.0,488.0,4595.0,0.0,0.0,277.0,0.0,0.0,198.0,23481.0,0.0,24784.0,24019.0,24784.0,0.7648
WORLD,1981,2024,1,31386.0,2909.0,488.0,0.0,166.0,31.0,122.0,20926.0,760.0,5252.0,0.0,0.0,164.0,0.0,0.0,138.0,26476.0,0.0,27102.0,26178.0,27102.0,0.8436
WORLD,1982,2024,1,30057.0,3176.0,760.0,0.0,76.0,0.0,97.0,20648.0,385.0,5431.0,0.0,0.0,146.0,0.0,0.0,96.0,25754.0,0.0,26610.0,26079.0,26610.0,0.8568
WORLD,1983,2024,1,29447.0,3575.0,385.0,0.0,164.0,53.0,170.0,19576.0,166.0,4786.0,0.0,0.0,229.0,0.0,44.0,159.0,24213.0,0.0,24757.0,24362.0,24757.0,0.8223
WORLD,1984,2024,1,32253.0,4379.0,166.0,0.0,213.0,43.0,218.0,25831.0,487.0,6647.0,0.0,0.0,248.0,0.0,52.0,223.0,32824.0,0.0,33213.0,32478.0,33213.0,1.0177
WORLD,1985,2024,1,30105.0,8661.0,487.0,0.0,232.0,5.0,184.0,22639.0,399.0,6541.0,0.0,0.0,231.0,0.0,5.0,199.0,29124.0,0.0,29810.0,29180.0,29810.0,0.9674
WORLD,1986,2024,1,28157.0,12131.0,399.0,0.0,188.0,20.0,230.0,20506.0,260.0,5942.0,0.0,0.0,201.0,0.0,14.0,229.0,26281.0,0.0,26909.0,26448.0,26909.0,0.9334
WORLD,1987,2024,1,29548.0,18193.0,260.0,0.0,287.0,50.0,669.0,23856.0,518.0,6480.0,0.0,0.0,326.0,15.0,35.0,717.0,30203.0,1664442.0,31180.0,30336.0,31180.0,1.0222
WORLD,1988,2024,1,32467.0,19653.0,518.0,0.0,330.0,30.0,647.0,25073.0,717.0,6478.0,0.0,7.0,298.0,0.0,23.0,641.0,31407.0,16141.0,32566.0,31551.0,32566.0,0.9674
WORLD,1989,2024,1,30469.0,27832.0,717.0,1.0,447.0,41.0,780.0,23777.0,439.0,6701.0,0.0,15.0,412.0,0.0,38.0,769.0,29843.0,21915.0,31329.0,30478.0,31329.0,0.9795
WORLD,1990,2024,1,31839.0,29392.0,439.0,0.0,524.0,72.0,592.0,25478.0,674.0,6678.0,0.0,10.0,492.0,0.0,43.0,572.0,32311.0,22431.0,33322.0,32156.0,33322.0,1.0148
