Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Yield
WORLD,2014,2024,1,35429.0,27812.0,7800.0,517.0,14049.0,144.0,14009.0,67562.0,7371.0,2508.0,560.0,2892.0,15105.0,382.0,136.0,14316.0,70990.0,93106.0,70630.0,93106.0,2.0037
WORLD,2015,2024,1,33750.0,26302.0,7371.0,548.0,14590.0,117.0,14150.0,67139.0,6366.0,2337.0,660.0,3314.0,14399.0,324.0,159.0,14127.0,69403.0,90901.0,70136.0,90901.0,2.0564
WORLD,2016,2024,1,33802.0,26912.0,6423.0,594.0,17337.0,116.0,15906.0,67935.0,5308.0,2335.0,660.0,4577.0,16145.0,297.0,100.0,15795.0,70165.0,92383.0,70930.0,92383.0,2.0758
WORLD,2017,2024,1,36173.0,29237.0,5308.0,599.0,16464.0,132.0,15456.0,68915.0,8143.0,2520.0,660.0,4125.0,16595.0,292.0,122.0,15728.0,75797.0,96833.0,72095.0,96833.0,2.0954
WORLD,2018,2024,1,36230.0,29255.0,8143.0,490.0,14355.0,173.0,15162.0,68673.0,9744.0,2999.0,165.0,4125.0,14678.0,280.0,169.0,14636.0,73480.0,96259.0,71837.0,96259.0,2.0282
WORLD,2019,2024,1,35145.0,28084.0,9744.0,523.0,17037.0,134.0,16658.0,69029.0,7644.0,2933.0,265.0,6183.0,16012.0,301.0,160.0,15818.0,70321.0,95883.0,72227.0,95883.0,2.0009
WORLD,2020,2024,1,35337.0,28077.0,7644.0,410.0,16160.0,185.0,15367.0,71913.0,6365.0,1957.0,665.0,6461.0,18138.0,196.0,190.0,16657.0,74737.0,99038.0,74535.0,99038.0,2.115
WORLD,2021,2024,1,38464.0,31218.0,6365.0,520.0,16045.0,123.0,15070.0,72233.0,4483.0,3309.0,665.0,6820.0,15344.0,197.0,186.0,13840.0,75829.0,96034.0,76207.0,96034.0,1.9714
WORLD,2022,2024,1,41879.0,34046.0,4483.0,500.0,19454.0,113.0,18739.0,80568.0,7848.0,3578.0,720.0,7470.0,20615.0,180.0,141.0,20059.0,88787.0,113329.0,84866.0,113329.0,2.1201
WORLD,2023,2024,1,42487.0,34605.0,7848.0,600.0,16088.0,118.0,15986.0,82123.0,7341.0,3614.0,745.0,6765.0,17143.0,180.0,100.0,16015.0,87103.0,110966.0,86482.0,110966.0,2.0501
