Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees,Yield
Bangladesh,2014,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,0.0,0.0
Bangladesh,2015,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,0.0,0.0
Bangladesh,2016,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0
Bangladesh,2017,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,21.0,21.0,0.0,0.0
Bangladesh,2018,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,132.0,132.0,0.0,0.0
Bangladesh,2019,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,87.0,87.0,87.0,0.0,0.0
Bangladesh,2020,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,24.0,24.0,0.0,0.0
Bangladesh,2021,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0
Bangladesh,2022,2023,7,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,2023,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0
Solomon Islands,2014,2022,5,52.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,36.0,29.0,36.0,0.0,0.5962
Solomon Islands,2015,2022,5,52.0,0.0,5.0,0.0,10.0,0.0,0.0,5.0,5.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,29.0,34.0,19.0,34.0,0.0,0.5577
Solomon Islands,2016,2022,5,52.0,0.0,5.0,0.0,22.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,22.0,0.0,0.0,0.0,32.0,37.0,15.0,37.0,0.0,0.6154
Solomon Islands,2017,2022,5,53.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,12.0,0.0,0.0,0.0,33.0,33.0,21.0,33.0,0.0,0.6226
Solomon Islands,2018,2022,5,54.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,35.0,29.0,35.0,0.0,0.6481
Solomon Islands,2019,2022,5,54.0,0.0,5.0,0.0,5.0,0.0,0.0,7.0,4.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,32.0,37.0,28.0,37.0,0.0,0.5926
Solomon Islands,2020,2022,5,54.0,0.0,4.0,0.0,5.0,0.0,0.0,7.0,3.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,32.0,36.0,28.0,36.0,0.0,0.5926
Solomon Islands,2021,2022,5,54.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,2.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,32.0,35.0,28.0,35.0,0.0,0.5926
Solomon Islands,2022,2023,5,54.0,0.0,2.0,0.0,5.0,0.0,0.0,7.0,0.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0,32.0,34.0,28.0,34.0,0.0,0.5926
Sri Lanka,2014,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,88.0,88.0,0.0,0.0
Sri Lanka,2015,2023,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,82.0,81.0,82.0,0.0,0.0
Sri Lanka,2016,2023,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,45.0,44.0,45.0,0.0,0.0
Sri Lanka,2017,2023,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,42.0,41.0,42.0,0.0,0.0
Sri Lanka,2018,2023,3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,113.0,113.0,109.0,113.0,0.0,0.0
Sri Lanka,2019,2023,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,67.0,66.0,67.0,0.0,0.0
Sri Lanka,2020,2023,3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,72.0,71.0,72.0,0.0,0.0
Sri Lanka,2021,2023,3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0,105.0,104.0,105.0,0.0,0.0
Sri Lanka,2022,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,70.0,69.0,70.0,0.0,0.0
Sri Lanka,2023,2024,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,70.0,69.0,70.0,0.0,0.0
Comoros,2014,2015,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,1.6
Comoros,2015,2016,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,1.6
