Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,2014,2024,1,249.0,15.0,253.0,0.0,239.0,16533.0,252.0,0.3241,0.0,5334.0,11.0,62.0,260.0,0.0,1.0,249.0,5359.0,5857.0,5345.0,5857.0
WORLD,2015,2024,1,252.0,12.0,235.0,0.0,235.0,16653.0,273.0,0.3237,0.0,5358.0,11.0,70.0,250.0,0.0,1.0,249.0,5391.0,5892.0,5369.0,5892.0
WORLD,2016,2024,1,273.0,20.0,277.0,4.0,231.0,17520.0,395.0,0.3242,0.0,5501.0,11.0,79.0,277.0,3.0,3.0,231.0,5680.0,6184.0,5512.0,6184.0
WORLD,2017,2024,1,395.0,18.0,279.0,3.0,256.0,18037.0,527.0,0.3243,0.0,5666.0,11.0,56.0,285.0,3.0,3.0,245.0,5849.0,6489.0,5677.0,6489.0
WORLD,2018,2024,1,527.0,0.0,339.0,2.0,302.0,18043.0,422.0,0.3238,0.0,5920.0,11.0,44.0,313.0,3.0,2.0,297.0,5842.0,6666.0,5931.0,6666.0
WORLD,2019,2024,1,422.0,0.0,429.0,10.0,360.0,19099.0,404.0,0.3236,0.0,6182.0,11.0,42.0,319.0,3.0,9.0,313.0,6181.0,6916.0,6193.0,6916.0
WORLD,2020,2024,1,404.0,5.0,362.0,8.0,393.0,19684.0,304.0,0.3238,0.0,6428.0,11.0,50.0,478.0,2.0,10.0,443.0,6374.0,7221.0,6439.0,7221.0
WORLD,2021,2024,1,304.0,9.0,395.0,4.0,345.0,19825.0,344.0,0.3249,0.0,6332.0,11.0,37.0,351.0,4.0,4.0,293.0,6441.0,7038.0,6343.0,7038.0
WORLD,2022,2024,1,344.0,5.0,438.0,4.0,422.0,19319.0,386.0,0.3254,0.0,6211.0,11.0,48.0,413.0,3.0,4.0,391.0,6286.0,7021.0,6222.0,7021.0
WORLD,2023,2024,1,386.0,5.0,443.0,4.0,422.0,19480.0,373.0,0.3249,0.0,6292.0,11.0,52.0,445.0,3.0,4.0,406.0,6329.0,7121.0,6303.0,7121.0
