Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees
Algeria,2014,2016,11,0.0,0.0,14.0,0.0,0.0,0.0,0.0,19.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,84.0,65.0,84.0,0.0
Algeria,2015,2020,12,0.0,0.0,19.0,0.0,0.0,0.0,0.0,21.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,101.0,80.0,101.0,0.0
Algeria,2016,2020,12,0.0,0.0,21.0,0.0,0.0,0.0,0.0,18.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,84.0,66.0,84.0,0.0
Algeria,2017,2018,11,0.0,0.0,18.0,0.0,0.0,0.0,0.0,16.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,101.0,85.0,101.0,0.0
Algeria,2018,2021,3,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,113.0,95.0,113.0,0.0
Algeria,2019,2022,5,0.0,0.0,18.0,0.0,0.0,0.0,0.0,49.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,144.0,95.0,144.0,0.0
Algeria,2020,2022,5,0.0,0.0,49.0,0.0,0.0,0.0,0.0,24.0,0.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,120.0,95.0,120.0,0.0
Algeria,2021,2022,5,0.0,0.0,24.0,0.0,0.0,0.0,0.0,22.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,122.0,100.0,122.0,0.0
Algeria,2022,2023,4,0.0,0.0,22.0,0.0,0.0,0.0,0.0,12.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,72.0,60.0,72.0,0.0
Algeria,2023,2024,1,0.0,0.0,12.0,0.0,0.0,0.0,0.0,22.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,102.0,80.0,102.0,0.0
Argentina,2014,2019,3,0.0,0.0,26.0,10.0,31.0,0.0,0.0,11.0,0.0,8.0,0.0,14.0,31.0,0.0,0.0,0.0,24.0,50.0,8.0,50.0,0.0
Argentina,2015,2021,3,0.0,0.0,11.0,5.0,16.0,0.0,0.0,11.0,0.0,8.0,0.0,4.0,16.0,0.0,0.0,0.0,24.0,35.0,8.0,35.0,0.0
Argentina,2016,2021,3,0.0,0.0,11.0,15.0,37.0,0.0,0.0,4.0,0.0,8.0,0.0,14.0,37.0,0.0,0.0,0.0,38.0,49.0,8.0,49.0,0.0
Argentina,2017,2022,3,0.0,0.0,4.0,10.0,20.0,0.0,2.0,23.0,0.0,8.0,0.0,10.0,20.0,0.0,0.0,2.0,45.0,51.0,8.0,51.0,0.0
Argentina,2018,2022,3,0.0,0.0,23.0,10.0,23.0,0.0,0.0,20.0,0.0,8.0,0.0,10.0,23.0,0.0,0.0,0.0,28.0,51.0,8.0,51.0,0.0
Argentina,2019,2022,7,0.0,0.0,20.0,10.0,22.0,0.0,0.0,21.0,0.0,8.0,0.0,10.0,22.0,0.0,0.0,1.0,30.0,51.0,8.0,51.0,0.0
Argentina,2020,2022,7,0.0,0.0,21.0,10.0,27.0,0.0,1.0,14.0,0.0,8.0,0.0,10.0,27.0,0.0,0.0,1.0,27.0,49.0,8.0,49.0,0.0
Argentina,2021,2023,4,0.0,0.0,14.0,10.0,25.0,0.0,3.0,13.0,0.0,8.0,0.0,10.0,26.0,0.0,0.0,3.0,30.0,47.0,8.0,47.0,0.0
Argentina,2022,2023,5,0.0,0.0,13.0,10.0,26.0,0.0,1.0,11.0,0.0,8.0,0.0,10.0,25.0,0.0,0.0,1.0,30.0,44.0,8.0,44.0,0.0
Argentina,2023,2024,1,0.0,0.0,11.0,10.0,25.0,0.0,1.0,9.0,0.0,8.0,0.0,10.0,25.0,0.0,0.0,1.0,30.0,42.0,8.0,42.0,0.0
Australia,2014,2019,3,35.0,35.0,3.0,0.0,6.0,0.0,20.0,2.0,0.0,35.0,0.0,4.0,6.0,19.0,0.0,20.0,20.0,43.0,35.0,43.0,4500.0
Australia,2015,2021,3,35.0,35.0,2.0,0.0,3.0,0.0,31.0,11.0,0.0,45.0,0.0,1.0,3.0,29.0,0.0,37.0,20.0,59.0,45.0,59.0,4500.0
Australia,2016,2022,3,36.0,36.0,11.0,1.0,3.0,0.0,28.0,12.0,0.0,50.0,0.0,0.0,3.0,27.0,0.0,33.0,21.0,65.0,50.0,65.0,4600.0
Australia,2017,2022,3,36.0,36.0,12.0,1.0,4.0,0.0,33.0,10.0,0.0,52.0,0.0,0.0,4.0,31.0,0.0,33.0,21.0,66.0,52.0,66.0,4600.0
Australia,2018,2023,2,36.0,36.0,10.0,1.0,3.0,0.0,39.0,11.0,0.0,55.0,0.0,0.0,3.0,39.0,0.0,39.0,20.0,69.0,55.0,69.0,4600.0
Australia,2019,2023,2,36.0,36.0,11.0,1.0,3.0,0.0,48.0,4.0,0.0,60.0,0.0,0.0,3.0,48.0,0.0,48.0,8.0,67.0,60.0,67.0,4600.0
Australia,2020,2023,5,36.0,36.0,4.0,1.0,3.0,0.0,46.0,15.0,0.0,56.0,0.0,0.0,2.0,46.0,0.0,46.0,23.0,73.0,56.0,73.0,4600.0
Australia,2021,2023,5,36.0,36.0,15.0,1.0,3.0,0.0,42.0,14.0,0.0,55.0,0.0,0.0,3.0,42.0,0.0,42.0,15.0,72.0,55.0,72.0,4600.0
Australia,2022,2023,5,36.0,36.0,14.0,1.0,3.0,0.0,35.0,14.0,0.0,55.0,0.0,0.0,3.0,40.0,0.0,35.0,23.0,72.0,55.0,72.0,4600.0
Australia,2023,2024,1,36.0,36.0,14.0,1.0,3.0,0.0,35.0,6.0,0.0,55.0,0.0,0.0,3.0,45.0,0.0,30.0,20.0,64.0,55.0,64.0,4600.0
Brazil,2014,2016,4,0.0,0.0,1.0,0.0,0.0,0.0,58.0,1.0,0.0,58.0,0.0,0.0,0.0,50.0,0.0,58.0,0.0,59.0,58.0,59.0,0.0
Brazil,2015,2019,3,0.0,0.0,1.0,0.0,0.0,0.0,57.0,1.0,0.0,57.0,0.0,0.0,0.0,48.0,0.0,57.0,0.0,58.0,57.0,58.0,0.0
Brazil,2016,2018,4,0.0,0.0,1.0,0.0,0.0,0.0,60.0,1.0,0.0,60.0,0.0,0.0,0.0,50.0,0.0,60.0,0.0,61.0,60.0,61.0,0.0
Brazil,2017,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,66.0,0.0,80.0,0.0,81.0,80.0,81.0,0.0
