Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees
WORLD,2014,2024,1,571.0,1835.0,800.0,267.0,928.0,4.0,865.0,391.0,0.0,2727.0,21.0,261.0,969.0,489.0,0.0,902.0,2406.0,4108.0,2748.0,4108.0,228250.0
WORLD,2015,2024,1,571.0,1835.0,391.0,297.0,923.0,4.0,751.0,623.0,0.0,2852.0,21.0,88.0,915.0,509.0,3.0,901.0,3119.0,4411.0,2873.0,4411.0,240280.0
WORLD,2016,2024,1,572.0,1854.0,619.0,286.0,904.0,4.0,739.0,331.0,0.0,2726.0,21.0,119.0,967.0,545.0,2.0,932.0,2494.0,4045.0,2747.0,4045.0,245400.0
WORLD,2017,2024,1,572.0,1936.0,331.0,317.0,1022.0,5.0,923.0,725.0,0.0,2841.0,21.0,197.0,1122.0,542.0,0.0,1093.0,3285.0,4709.0,2862.0,4709.0,249450.0
WORLD,2018,2024,1,572.0,1977.0,725.0,297.0,978.0,5.0,947.0,883.0,0.0,2906.0,21.0,156.0,1179.0,607.0,2.0,1104.0,3160.0,4989.0,2927.0,4989.0,254000.0
WORLD,2019,2024,1,572.0,1997.0,883.0,326.0,1067.0,5.0,1138.0,850.0,0.0,3011.0,21.0,211.0,1468.0,683.0,3.0,1314.0,3153.0,5350.0,3032.0,5350.0,256500.0
WORLD,2020,2024,1,572.0,2037.0,850.0,341.0,1072.0,4.0,1041.0,587.0,0.0,3021.0,21.0,161.0,1361.0,672.0,3.0,1213.0,2927.0,4990.0,3042.0,4990.0,260000.0
WORLD,2021,2024,1,572.0,2057.0,587.0,356.0,1410.0,3.0,1212.0,655.0,0.0,3095.0,21.0,163.0,1410.0,690.0,3.0,1288.0,3306.0,5181.0,3116.0,5181.0,262000.0
WORLD,2022,2024,1,572.0,57.0,655.0,371.0,1208.0,2.0,1045.0,389.0,0.0,2618.0,16.0,206.0,1200.0,596.0,4.0,1082.0,2486.0,4223.0,2634.0,4223.0,262000.0
WORLD,2023,2024,1,572.0,2057.0,389.0,366.0,1454.0,3.0,1107.0,330.0,0.0,2464.0,16.0,161.0,1018.0,654.0,3.0,935.0,2504.0,3828.0,2480.0,3828.0,262000.0
