Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees,Yield
Afghanistan,2014,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,147.0,32.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,147.0,115.0,147.0,0.0,0.0
Afghanistan,2015,2021,4,0.0,0.0,32.0,0.0,0.0,0.0,98.0,18.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,138.0,120.0,138.0,0.0,0.0
Afghanistan,2016,2021,8,0.0,0.0,18.0,0.0,0.0,0.0,134.0,23.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,153.0,130.0,153.0,0.0,0.0
Afghanistan,2017,2021,8,0.0,0.0,23.0,0.0,0.0,0.0,133.0,29.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,169.0,140.0,169.0,0.0,0.0
Afghanistan,2018,2021,8,0.0,0.0,29.0,0.0,0.0,0.0,153.0,36.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,181.0,145.0,181.0,0.0,0.0
Afghanistan,2019,2021,8,0.0,0.0,36.0,0.0,0.0,0.0,141.0,34.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,184.0,150.0,184.0,0.0,0.0
Afghanistan,2020,2022,4,0.0,0.0,34.0,0.0,0.0,0.0,165.0,36.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,191.0,155.0,191.0,0.0,0.0
Afghanistan,2021,2022,12,0.0,0.0,36.0,0.0,0.0,0.0,158.0,38.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,243.0,205.0,243.0,0.0,0.0
Afghanistan,2022,2023,5,0.0,0.0,38.0,0.0,0.0,0.0,244.0,43.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,258.0,215.0,258.0,0.0,0.0
Afghanistan,2023,2024,1,0.0,0.0,43.0,0.0,0.0,0.0,244.0,43.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,263.0,220.0,263.0,0.0,0.0
Algeria,2014,2020,11,0.0,0.0,31.0,0.0,0.0,0.0,106.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,150.0,100.0,150.0,0.0,0.0
Algeria,2015,2020,11,0.0,0.0,50.0,0.0,0.0,0.0,75.0,22.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,122.0,100.0,122.0,0.0,0.0
Algeria,2016,2021,4,0.0,0.0,22.0,0.0,0.0,0.0,95.0,26.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,141.0,115.0,141.0,0.0,0.0
Algeria,2017,2021,4,0.0,0.0,26.0,0.0,0.0,0.0,150.0,54.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,184.0,130.0,184.0,0.0,0.0
Algeria,2018,2021,4,0.0,0.0,54.0,0.0,0.0,0.0,130.0,62.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,202.0,140.0,202.0,0.0,0.0
Algeria,2019,2021,5,0.0,0.0,62.0,0.0,0.0,0.0,135.0,38.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,173.0,135.0,173.0,0.0,0.0
Algeria,2020,2023,5,0.0,0.0,38.0,0.0,0.0,0.0,136.0,35.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,170.0,135.0,170.0,0.0,0.0
Algeria,2021,2023,5,0.0,0.0,35.0,0.0,0.0,0.0,136.0,25.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,160.0,135.0,160.0,0.0,0.0
Algeria,2022,2023,11,0.0,0.0,25.0,0.0,0.0,0.0,128.0,20.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,150.0,130.0,150.0,0.0,0.0
Algeria,2023,2024,1,0.0,0.0,20.0,0.0,0.0,0.0,128.0,35.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,170.0,135.0,170.0,0.0,0.0
Angola,2014,2019,2,23.0,0.0,86.0,0.0,0.0,0.0,265.0,113.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,265.0,42.0,393.0,280.0,393.0,0.0,1.8261
Angola,2015,2021,3,23.0,0.0,113.0,0.0,0.0,0.0,131.0,36.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,131.0,45.0,289.0,253.0,289.0,0.0,1.9565
Angola,2016,2022,12,25.0,0.0,36.0,0.0,0.0,0.0,199.0,37.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,201.0,48.0,285.0,248.0,285.0,0.0,1.92
Angola,2017,2022,12,25.0,0.0,37.0,0.0,0.0,0.0,178.0,26.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,179.0,51.0,267.0,241.0,267.0,0.0,2.04
Angola,2018,2022,12,25.0,0.0,26.0,0.0,0.0,0.0,224.0,45.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,226.0,53.0,305.0,260.0,305.0,0.0,2.12
Angola,2019,2022,12,25.0,0.0,45.0,0.0,0.0,0.0,225.0,39.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,205.0,54.0,304.0,265.0,304.0,0.0,2.16
Angola,2020,2022,12,25.0,0.0,39.0,0.0,0.0,0.0,179.0,9.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,180.0,55.0,274.0,265.0,274.0,0.0,2.2
Angola,2021,2023,5,25.0,0.0,9.0,0.0,0.0,0.0,230.0,69.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,285.0,55.0,349.0,280.0,349.0,0.0,2.2
Angola,2022,2023,6,25.0,0.0,69.0,0.0,0.0,0.0,284.0,69.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,260.0,55.0,384.0,315.0,384.0,0.0,2.2
Angola,2023,2024,1,25.0,0.0,69.0,0.0,0.0,0.0,270.0,74.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,275.0,55.0,399.0,325.0,399.0,0.0,2.2
Australia,2014,2018,4,0.0,0.0,8.0,0.0,0.0,0.0,119.0,7.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,127.0,120.0,127.0,0.0,0.0
Australia,2015,2019,2,0.0,0.0,7.0,0.0,0.0,0.0,122.0,4.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,129.0,125.0,129.0,0.0,0.0
Australia,2016,2019,2,0.0,0.0,4.0,0.0,0.0,0.0,137.0,6.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,141.0,135.0,141.0,0.0,0.0
Australia,2017,2022,11,0.0,0.0,6.0,0.0,0.0,0.0,138.0,24.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,144.0,120.0,144.0,0.0,0.0
Australia,2018,2022,11,0.0,0.0,24.0,0.0,0.0,0.0,111.0,25.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,135.0,110.0,135.0,0.0,0.0
Australia,2019,2022,11,0.0,0.0,25.0,0.0,0.0,0.0,76.0,11.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,101.0,90.0,101.0,0.0,0.0
Australia,2020,2022,11,0.0,0.0,11.0,0.0,0.0,0.0,79.0,10.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,90.0,80.0,90.0,0.0,0.0
Australia,2021,2023,5,0.0,0.0,10.0,0.0,0.0,0.0,75.0,5.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,85.0,80.0,85.0,0.0,0.0
Australia,2022,2023,7,0.0,0.0,5.0,0.0,0.0,0.0,76.0,5.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,85.0,80.0,85.0,0.0,0.0
Australia,2023,2024,1,0.0,0.0,5.0,0.0,0.0,0.0,70.0,5.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,90.0,85.0,90.0,0.0,0.0
Bangladesh,2014,2019,8,0.0,0.0,26.0,0.0,0.0,0.0,1409.0,31.0,0.0,1180.0,95.0,0.0,0.0,0.0,0.0,1280.0,0.0,1306.0,1275.0,1306.0,0.0,0.0
Bangladesh,2015,2019,8,0.0,0.0,31.0,0.0,0.0,0.0,1366.0,151.0,0.0,1281.0,110.0,0.0,0.0,0.0,0.0,1511.0,0.0,1542.0,1391.0,1542.0,0.0,0.0
Bangladesh,2016,2022,8,0.0,0.0,151.0,0.0,0.0,0.0,1417.0,91.0,0.0,1300.0,73.0,0.0,1.0,0.0,0.0,1314.0,0.0,1465.0,1373.0,1465.0,0.0,0.0
Bangladesh,2017,2022,8,0.0,0.0,91.0,0.0,0.0,0.0,1650.0,274.0,0.0,1325.0,126.0,0.0,1.0,0.0,0.0,1635.0,0.0,1726.0,1451.0,1726.0,0.0,0.0
Bangladesh,2018,2022,8,0.0,0.0,274.0,0.0,12.0,0.0,1600.0,338.0,0.0,1350.0,149.0,0.0,6.0,0.0,0.0,1569.0,0.0,1843.0,1499.0,1843.0,0.0,0.0
Bangladesh,2019,2022,8,0.0,0.0,338.0,0.0,26.0,0.0,1600.0,335.0,0.0,1375.0,105.0,0.0,33.0,0.0,0.0,1510.0,0.0,1848.0,1480.0,1848.0,0.0,0.0
