Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees,Yield
WORLD,1964,2024,1,0.0,0.0,47.0,0.0,508.0,0.0,548.0,49.0,2.0,1098.0,41.0,0.0,600.0,0.0,0.0,551.0,1243.0,1840.0,1191.0,1841.0,0.0,0.0
WORLD,1965,2024,1,0.0,0.0,53.0,0.0,592.0,0.0,647.0,49.0,3.0,1160.0,40.0,0.0,684.0,0.0,0.0,650.0,1288.0,1991.0,1258.0,1991.0,0.0,0.0
WORLD,1966,2024,1,0.0,0.0,49.0,0.0,438.0,0.0,594.0,85.0,3.0,1070.0,41.0,0.0,561.0,0.0,0.0,596.0,1158.0,1802.0,1156.0,1803.0,0.0,0.0
WORLD,1967,2024,1,90.0,0.0,85.0,0.0,581.0,0.0,617.0,75.0,3.0,1210.0,43.0,0.0,722.0,0.0,0.0,672.0,1359.0,2116.0,1319.0,2116.0,0.0,15.1
WORLD,1968,2024,1,90.0,0.0,75.0,0.0,712.0,0.0,751.0,47.0,3.0,1409.0,46.0,0.0,837.0,0.0,0.0,811.0,1529.0,2414.0,1530.0,2415.0,0.0,16.9889
WORLD,1969,2024,1,100.0,0.0,47.0,0.0,792.0,0.0,768.0,84.0,3.0,1448.0,49.0,0.0,911.0,0.0,0.0,834.0,1696.0,2577.0,1582.0,2577.0,0.0,16.96
WORLD,1970,2024,1,95.0,0.0,84.0,0.0,1124.0,0.0,1126.0,97.0,3.0,1665.0,53.0,0.0,1236.0,0.0,0.0,1126.0,1922.0,3132.0,1799.0,3132.0,0.0,20.2316
WORLD,1971,2024,1,100.0,0.0,97.0,0.0,1292.0,0.0,1102.0,141.0,3.0,1647.0,180.0,0.0,1379.0,0.0,0.0,1298.0,2058.0,3453.0,1933.0,3453.0,0.0,20.58
WORLD,1972,2024,1,100.0,0.0,141.0,0.0,1442.0,0.0,1328.0,113.0,8.0,1911.0,198.0,0.0,1512.0,0.0,0.0,1505.0,2211.0,3857.0,2232.0,3857.0,0.0,22.11
WORLD,1973,2024,1,110.0,0.0,113.0,0.0,1627.0,0.0,1226.0,236.0,0.0,1865.0,174.0,0.0,1693.0,0.0,0.0,1416.0,2558.0,4087.0,2158.0,4087.0,0.0,23.2545
WORLD,1974,2024,1,142.0,0.0,236.0,0.0,1885.0,0.0,1372.0,298.0,0.0,2571.0,8.0,0.0,1938.0,0.0,0.0,1810.0,2891.0,4937.0,2701.0,4937.0,0.0,20.3592
WORLD,1975,2024,1,521.0,0.0,298.0,0.0,2166.0,0.0,1675.0,319.0,0.0,2731.0,0.0,0.0,2206.0,0.0,0.0,2037.0,3052.0,5387.0,2862.0,5387.0,0.0,5.858
WORLD,1976,2024,1,603.0,0.0,319.0,0.0,2338.0,0.0,2040.0,324.0,1.0,3166.0,29.0,0.0,2359.0,0.0,0.0,2334.0,3363.0,6016.0,3333.0,6016.0,0.0,5.5771
WORLD,1977,2024,1,711.0,0.0,324.0,0.0,2434.0,0.0,2159.0,470.0,3.0,3321.0,15.0,0.0,2444.0,0.0,0.0,2349.0,3591.0,6264.0,3350.0,6264.0,0.0,5.0506
WORLD,1978,2024,1,815.0,0.0,470.0,0.0,2935.0,0.0,2583.0,614.0,3.0,3840.0,46.0,0.0,2935.0,0.0,0.0,2830.0,4146.0,7446.0,3897.0,7446.0,0.0,5.0871
WORLD,1979,2024,1,890.0,0.0,610.0,0.0,3741.0,0.0,3392.0,609.0,21.0,4090.0,221.0,0.0,3648.0,0.0,0.0,3319.0,4660.0,8589.0,4332.0,8589.0,0.0,5.236
WORLD,1980,2024,1,1027.0,0.0,609.0,0.0,3429.0,0.0,3049.0,495.0,15.0,4677.0,71.0,0.0,3387.0,0.0,0.0,3140.0,4896.0,8645.0,4763.0,8645.0,0.0,4.7673
WORLD,1981,2024,1,1113.0,0.0,495.0,0.0,4003.0,0.0,3661.0,770.0,85.0,4990.0,229.0,0.0,3885.0,0.0,0.0,3692.0,5772.0,9959.0,5304.0,9959.0,0.0,5.186
WORLD,1982,2024,1,1187.0,0.0,770.0,0.0,4148.0,0.0,3995.0,549.0,197.0,5011.0,568.0,0.0,4079.0,0.0,0.0,3901.0,5733.0,10404.0,5776.0,10404.0,1.0,4.8298
WORLD,1983,2024,1,3655.0,0.0,549.0,0.0,4463.0,13.0,4261.0,843.0,171.0,5000.0,511.0,0.0,4144.0,0.0,0.0,3998.0,6122.0,10669.0,5682.0,10669.0,225011.0,1.675
WORLD,1984,2024,1,3800.0,0.0,843.0,140.0,5312.0,1.0,5167.0,1035.0,128.0,5439.0,720.0,0.0,5383.0,0.0,0.0,5110.0,6752.0,12705.0,6287.0,12705.0,226299.0,1.7768
WORLD,1985,2024,1,3974.0,0.0,1035.0,289.0,6146.0,1.0,5993.0,1463.0,148.0,6246.0,1184.0,0.0,6058.0,0.0,0.0,6070.0,7994.0,15099.0,7578.0,15099.0,227590.0,2.0116
WORLD,1986,2024,1,4211.0,0.0,1463.0,171.0,5738.0,5.0,5817.0,1372.0,234.0,6509.0,1060.0,84.0,5756.0,20.0,0.0,5573.0,7895.0,14931.0,7803.0,14931.0,229593.0,1.8749
WORLD,1987,2024,1,4452.0,2470.0,1372.0,161.0,5762.0,0.0,5587.0,1412.0,187.0,6800.0,1276.0,169.0,6094.0,144.0,1.0,6091.0,8306.0,15769.0,8263.0,15769.0,2260176.0,1.8657
WORLD,1988,2024,1,5238.0,3160.0,1412.0,130.0,6968.0,3.0,6084.0,1619.0,200.0,7509.0,1539.0,180.0,6754.0,164.0,2.0,6735.0,9474.0,17621.0,9248.0,17621.0,2622422.0,1.8087
WORLD,1989,2024,1,4925.0,3397.0,1619.0,137.0,8022.0,1.0,7491.0,1699.0,218.0,8352.0,1867.0,340.0,8025.0,203.0,1.0,7692.0,10850.0,20161.0,10437.0,20161.0,2854187.0,2.203
WORLD,1990,2024,1,5168.0,3495.0,1699.0,136.0,8224.0,5.0,6949.0,1424.0,258.0,9007.0,1890.0,285.0,8461.0,243.0,4.0,8307.0,11034.0,21040.0,11155.0,21040.0,2859657.0,2.1351
WORLD,1991,2024,1,5407.0,3484.0,1424.0,222.0,8138.0,7.0,5394.0,1469.0,230.0,8952.0,1954.0,60.0,8506.0,15.0,4.0,8214.0,11473.0,21111.0,11136.0,21111.0,2861529.0,2.1219
WORLD,1992,2024,1,5541.0,3602.0,1469.0,266.0,8229.0,4.0,5336.0,1786.0,230.0,9503.0,2230.0,101.0,9353.0,13.0,4.0,8650.0,12983.0,23102.0,11963.0,23102.0,2964288.0,2.3431
WORLD,1993,2024,1,5822.0,3589.0,1786.0,302.0,8816.0,4.0,6721.0,1316.0,209.0,10896.0,2453.0,138.0,10588.0,16.0,2.0,9985.0,13691.0,25462.0,13558.0,25462.0,351564.0,2.3516
WORLD,1994,2024,1,7697.0,3478.0,1316.0,55.0,2521.0,2.0,5514.0,1468.0,196.0,11515.0,2333.0,86.0,10434.0,12.0,2.0,9960.0,14670.0,25946.0,14044.0,25946.0,325522.0,1.9059
WORLD,1995,2024,1,8046.0,3495.0,1468.0,40.0,9409.0,2.0,5639.0,1830.0,232.0,12316.0,2675.0,1293.0,10596.0,14.0,2.0,10048.0,16133.0,27649.0,15223.0,27649.0,290334.0,2.0051
WORLD,1996,2024,1,8556.0,3156.0,1830.0,40.0,11326.0,2.0,5719.0,2048.0,261.0,13951.0,2780.0,1266.0,11931.0,13.0,2.0,11560.0,17581.0,30971.0,16992.0,30971.0,287277.0,2.0548
WORLD,1997,2024,1,6436.0,539.0,2048.0,50.0,9454.0,0.0,5159.0,1813.0,216.0,13779.0,2686.0,1147.0,10835.0,11.0,0.0,10384.0,16897.0,29329.0,16681.0,29329.0,287715.0,2.6254
