"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","","98","OT","OTHER STATES","","","","","","","","00000000","","","9000","UNITED STATES","OTHER STATES","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","0",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","","98","OT","OTHER STATES","","","","","","","","00000000","","","9000","UNITED STATES","OTHER STATES","2023","ANNUAL","00","00","YEAR - AUG FORECAST","","2023-08-11 12:00:00.000","162.4",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","","98","OT","OTHER STATES","","","","","","","","00000000","","","9000","UNITED STATES","OTHER STATES","2023","ANNUAL","00","00","YEAR - NOV FORECAST","","2023-11-09 12:00:00.000","162.2",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","","98","OT","OTHER STATES","","","","","","","","00000000","","","9000","UNITED STATES","OTHER STATES","2023","ANNUAL","00","00","YEAR - OCT FORECAST","","2023-10-12 12:00:00.000","162.2",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","","98","OT","OTHER STATES","","","","","","","","00000000","","","9000","UNITED STATES","OTHER STATES","2023","ANNUAL","00","00","YEAR - SEP FORECAST","","2023-09-12 12:00:00.000","162.2",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA","","","","","","","","00000000","","","9000","UNITED STATES","ALABAMA","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","164",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA","","","","","","","","00000000","","","9000","UNITED STATES","ALABAMA","2023","ANNUAL","00","00","YEAR - AUG FORECAST","","2023-08-11 12:00:00.000","159",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA","","","","","","","","00000000","","","9000","UNITED STATES","ALABAMA","2023","ANNUAL","00","00","YEAR - NOV FORECAST","","2023-11-09 12:00:00.000","168",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA","","","","","","","","00000000","","","9000","UNITED STATES","ALABAMA","2023","ANNUAL","00","00","YEAR - OCT FORECAST","","2023-10-12 12:00:00.000","167",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA","","","","","","","","00000000","","","9000","UNITED STATES","ALABAMA","2023","ANNUAL","00","00","YEAR - SEP FORECAST","","2023-09-12 12:00:00.000","166",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","04","04","AZ","ARIZONA","","","","","","","","00000000","","","9000","UNITED STATES","ARIZONA","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","206",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","05","05","AR","ARKANSAS","","","","","","","","00000000","","","9000","UNITED STATES","ARKANSAS","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","183",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","05","05","AR","ARKANSAS","","","","","","","","00000000","","","9000","UNITED STATES","ARKANSAS","2023","ANNUAL","00","00","YEAR - AUG FORECAST","","2023-08-11 12:00:00.000","180",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","05","05","AR","ARKANSAS","","","","","","","","00000000","","","9000","UNITED STATES","ARKANSAS","2023","ANNUAL","00","00","YEAR - NOV FORECAST","","2023-11-09 12:00:00.000","180",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","05","05","AR","ARKANSAS","","","","","","","","00000000","","","9000","UNITED STATES","ARKANSAS","2023","ANNUAL","00","00","YEAR - OCT FORECAST","","2023-10-12 12:00:00.000","180",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","05","05","AR","ARKANSAS","","","","","","","","00000000","","","9000","UNITED STATES","ARKANSAS","2023","ANNUAL","00","00","YEAR - SEP FORECAST","","2023-09-12 12:00:00.000","180",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","06","06","CA","CALIFORNIA","","","","","","","","00000000","","","9000","UNITED STATES","CALIFORNIA","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","178",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","06","06","CA","CALIFORNIA","","","","","","","","00000000","","","9000","UNITED STATES","CALIFORNIA","2023","ANNUAL","00","00","YEAR - AUG FORECAST","","2023-08-11 12:00:00.000","172",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","06","06","CA","CALIFORNIA","","","","","","","","00000000","","","9000","UNITED STATES","CALIFORNIA","2023","ANNUAL","00","00","YEAR - NOV FORECAST","","2023-11-09 12:00:00.000","174",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","06","06","CA","CALIFORNIA","","","","","","","","00000000","","","9000","UNITED STATES","CALIFORNIA","2023","ANNUAL","00","00","YEAR - OCT FORECAST","","2023-10-12 12:00:00.000","174",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","06","06","CA","CALIFORNIA","","","","","","","","00000000","","","9000","UNITED STATES","CALIFORNIA","2023","ANNUAL","00","00","YEAR - SEP FORECAST","","2023-09-12 12:00:00.000","178",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","08","08","CO","COLORADO","","","","","","","","00000000","","","9000","UNITED STATES","COLORADO","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","122",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","08","08","CO","COLORADO","","","","","","","","00000000","","","9000","UNITED STATES","COLORADO","2023","ANNUAL","00","00","YEAR - AUG FORECAST","","2023-08-11 12:00:00.000","130",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","08","08","CO","COLORADO","","","","","","","","00000000","","","9000","UNITED STATES","COLORADO","2023","ANNUAL","00","00","YEAR - NOV FORECAST","","2023-11-09 12:00:00.000","124",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","08","08","CO","COLORADO","","","","","","","","00000000","","","9000","UNITED STATES","COLORADO","2023","ANNUAL","00","00","YEAR - OCT FORECAST","","2023-10-12 12:00:00.000","128",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","08","08","CO","COLORADO","","","","","","","","00000000","","","9000","UNITED STATES","COLORADO","2023","ANNUAL","00","00","YEAR - SEP FORECAST","","2023-09-12 12:00:00.000","130",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","10","10","DE","DELAWARE","","","","","","","","00000000","","","9000","UNITED STATES","DELAWARE","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","189",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","10","10","DE","DELAWARE","","","","","","","","00000000","","","9000","UNITED STATES","DELAWARE","2023","ANNUAL","00","00","YEAR - AUG FORECAST","","2023-08-11 12:00:00.000","193",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","10","10","DE","DELAWARE","","","","","","","","00000000","","","9000","UNITED STATES","DELAWARE","2023","ANNUAL","00","00","YEAR - NOV FORECAST","","2023-11-09 12:00:00.000","186",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","10","10","DE","DELAWARE","","","","","","","","00000000","","","9000","UNITED STATES","DELAWARE","2023","ANNUAL","00","00","YEAR - OCT FORECAST","","2023-10-12 12:00:00.000","186",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","STATE","10","10","DE","DELAWARE","","","","","","","","00000000","","","9000","UNITED STATES","DELAWARE","2023","ANNUAL","00","00","YEAR - SEP FORECAST","","2023-09-12 12:00:00.000","184",""
