Country,Market Year,Calendar Year,Month,Area Harvested,Beginning Stocks,Ending Stocks,FSI Consumption,Feed and Residual,MY Exports,MY Imports,Production,TY Exports,TY Imp. from U.S.,TY Imports,Total Consumption,Total Distribution,Total Supply,Yield
WORLD,1960,2024,1,202200.0,80278.0,82849.0,198573.0,29977.0,43857.0,41527.0,233451.0,42871.0,15449.0,41509.0,228550.0,355256.0,355256.0,1.1546
WORLD,1961,2024,1,203458.0,82942.0,69850.0,198956.0,33275.0,46949.0,46039.0,220049.0,48137.0,18461.0,46765.0,232231.0,349030.0,349030.0,1.0815
WORLD,1962,2024,1,206878.0,69850.0,75846.0,207767.0,29958.0,46227.0,43168.0,246780.0,44840.0,16705.0,43933.0,237725.0,359798.0,359798.0,1.1929
WORLD,1963,2024,1,206307.0,75846.0,70327.0,210636.0,23646.0,58265.0,56641.0,230387.0,57409.0,20952.0,55118.0,234282.0,362874.0,362874.0,1.1167
WORLD,1964,2024,1,215940.0,70327.0,78479.0,217370.0,33606.0,54869.0,49086.0,264911.0,52529.0,19176.0,51361.0,250976.0,384324.0,384324.0,1.2268
WORLD,1965,2024,1,215248.0,78479.0,60734.0,227732.0,48349.0,61066.0,60090.0,259312.0,63332.0,21200.0,61655.0,276081.0,397881.0,397881.0,1.2047
WORLD,1966,2024,1,213840.0,60734.0,87622.0,229522.0,43448.0,58404.0,57611.0,300651.0,57482.0,19130.0,56760.0,272970.0,418996.0,418996.0,1.406
WORLD,1967,2024,1,219201.0,87622.0,97664.0,231605.0,49040.0,53551.0,52290.0,291948.0,53570.0,19783.0,52994.0,280645.0,431860.0,431860.0,1.3319
WORLD,1968,2024,1,223894.0,97664.0,121311.0,237083.0,61276.0,50268.0,48500.0,323774.0,49209.0,13066.0,47802.0,298359.0,469938.0,469938.0,1.4461
WORLD,1969,2024,1,217824.0,121311.0,103543.0,247381.0,70009.0,55817.0,51418.0,304021.0,54534.0,15705.0,52550.0,317390.0,476750.0,476750.0,1.3957
WORLD,1970,2024,1,206979.0,103543.0,80529.0,250194.0,78680.0,56479.0,55808.0,306531.0,57488.0,18336.0,55051.0,328874.0,465882.0,465882.0,1.481
WORLD,1971,2024,1,212736.0,80529.0,89244.0,254469.0,81205.0,56060.0,56330.0,344119.0,56616.0,16237.0,56569.0,335674.0,480978.0,480978.0,1.6176
WORLD,1972,2024,1,210900.0,89244.0,74928.0,268494.0,84125.0,64801.0,65618.0,337486.0,66988.0,30471.0,65426.0,352619.0,492348.0,492348.0,1.6002
WORLD,1973,2024,1,217030.0,74928.0,82667.0,281545.0,70037.0,65867.0,59119.0,366069.0,62521.0,30324.0,60129.0,351582.0,500116.0,500116.0,1.6867
WORLD,1974,2024,1,220026.0,82667.0,81353.0,280512.0,72816.0,61634.0,58422.0,355226.0,62822.0,27276.0,59784.0,353328.0,496315.0,496315.0,1.6145
WORLD,1975,2024,1,225338.0,81353.0,86719.0,283262.0,63534.0,66891.0,66406.0,352647.0,65513.0,32688.0,64850.0,346796.0,500406.0,500406.0,1.565
WORLD,1976,2024,1,233072.0,86720.0,127352.0,300251.0,69230.0,63833.0,59598.0,414348.0,62140.0,26316.0,58533.0,369481.0,560666.0,560666.0,1.7778
WORLD,1977,2024,1,227156.0,127352.0,109207.0,312713.0,86271.0,66909.0,69904.0,377844.0,71697.0,31931.0,70455.0,398984.0,575100.0,575100.0,1.6634
WORLD,1978,2024,1,228902.0,109207.0,134848.0,314457.0,90757.0,76763.0,68676.0,438942.0,71279.0,31586.0,67950.0,405214.0,616825.0,616825.0,1.9176
WORLD,1979,2024,1,227830.0,134848.0,120453.0,333628.0,94948.0,85603.0,82242.0,417542.0,85523.0,35612.0,83092.0,428576.0,634632.0,634632.0,1.8327
