Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,SME,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,1966,2024,1,0.0,0.0,0.0,0.0,3.0,216.0,0.0,0.5185,115.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,112.0,93.1845,115.0,115.0,115.0
WORLD,1967,2024,1,0.0,0.0,0.0,0.0,4.0,246.0,0.0,0.5203,132.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,128.0,106.9596,132.0,132.0,132.0
WORLD,1968,2024,1,0.0,0.0,0.0,19.0,20.0,244.0,0.0,0.5205,147.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,127.0,119.1141,147.0,147.0,147.0
WORLD,1969,2024,1,143.0,0.0,1214.0,17.0,1279.0,17094.0,138.0,0.4622,6796.0,0.0,1176.0,0.0,1213.0,0.0,0.0,1280.0,7900.0,5506.7988,9323.0,7972.0,9323.0
WORLD,1970,2024,1,138.0,0.0,996.0,26.0,1093.0,16525.0,166.0,0.4664,6491.0,0.0,1288.0,0.0,993.0,0.0,0.0,1093.0,7707.0,5259.6573,8938.0,7779.0,8938.0
WORLD,1971,2024,1,166.0,0.0,1215.0,7.0,1267.0,18278.0,110.0,0.4635,7405.0,0.0,1191.0,0.0,1198.0,0.0,0.0,1266.0,8472.0,6000.2715,9904.0,8596.0,9904.0
WORLD,1972,2024,1,110.0,0.0,1247.0,38.0,1448.0,19170.0,142.0,0.4644,8017.0,0.0,1178.0,0.0,1215.0,0.0,0.0,1434.0,8903.0,6496.1751,10447.0,9090.0,10447.0
WORLD,1973,2024,1,142.0,0.0,910.0,50.0,944.0,19416.0,163.0,0.462,7514.0,0.0,1512.0,0.0,927.0,0.0,0.0,959.0,8970.0,6088.5942,10071.0,8981.0,10071.0
WORLD,1974,2024,1,163.0,0.0,938.0,19.0,958.0,19099.0,237.0,0.4588,7412.0,0.0,1392.0,0.0,930.0,0.0,0.0,957.0,8763.0,6005.9436,9883.0,8716.0,9883.0
WORLD,1975,2024,1,237.0,0.0,864.0,23.0,850.0,16799.0,109.0,0.4528,6386.0,0.0,1347.0,0.0,849.0,0.0,0.0,847.0,7607.0,5174.5758,8691.0,7733.0,8691.0
WORLD,1976,2024,1,109.0,0.0,819.0,49.0,754.0,16791.0,159.0,0.458,6421.0,0.0,1163.0,0.0,813.0,0.0,0.0,756.0,7691.0,5202.9363,8556.0,7584.0,8556.0
WORLD,1977,2024,1,159.0,0.0,865.0,73.0,853.0,18544.0,187.0,0.4607,7352.0,0.0,1159.0,0.0,859.0,0.0,0.0,855.0,8543.0,5957.3256,9557.0,8511.0,9557.0
WORLD,1978,2024,1,187.0,0.0,916.0,124.0,970.0,18029.0,155.0,0.4644,7264.0,0.0,1226.0,0.0,881.0,0.0,0.0,966.0,8373.0,5886.0192,9526.0,8490.0,9526.0
WORLD,1979,2024,1,155.0,0.0,779.0,158.0,777.0,18535.0,166.0,0.4715,7494.0,0.0,1215.0,0.0,782.0,0.0,0.0,763.0,8739.0,6072.3882,9657.0,8709.0,9657.0
WORLD,1980,2024,1,166.0,0.0,716.0,104.0,786.0,19603.0,231.0,0.462,7610.0,0.0,1487.0,0.0,681.0,0.0,0.0,786.0,9057.0,6166.383,10009.0,9097.0,10009.0
WORLD,1981,2024,1,231.0,0.0,703.0,54.0,708.0,21115.0,283.0,0.469,8174.0,0.0,1644.0,0.0,761.0,0.0,0.0,728.0,9903.0,6623.3922,10862.0,9818.0,10862.0
WORLD,1982,2024,1,283.0,0.0,799.0,4.0,757.0,20877.0,146.0,0.4594,7681.0,0.0,1944.0,0.0,772.0,0.0,0.0,670.0,9590.0,6223.9143,10543.0,9625.0,10543.0
WORLD,1983,2024,1,146.0,0.0,611.0,0.0,565.0,19790.0,216.0,0.4624,6632.0,0.0,2465.0,0.0,634.0,0.0,0.0,650.0,9151.0,5373.9096,9947.0,9097.0,9947.0
WORLD,1984,2024,1,216.0,0.0,768.0,4.0,718.0,26026.0,333.0,0.4711,8667.0,0.0,3371.0,0.0,757.0,0.0,3.0,651.0,12261.0,7022.8701,13128.0,12038.0,13128.0
WORLD,1985,2024,1,333.0,0.0,888.0,9.0,881.0,22791.0,337.0,0.4625,8579.0,0.0,1895.0,0.0,925.0,0.0,2.0,863.0,10540.0,6951.5637,11736.0,10474.0,11736.0
