Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees,Yield
Congo (Kinshasa),1960,2006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,136.0,136.0,136.0,0.0,0.0
Congo (Kinshasa),1961,2006,6,0.0,0.0,0.0,0.0,19.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,130.0,130.0,111.0,130.0,0.0,0.0
Congo (Kinshasa),1962,2006,6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,97.0,97.0,94.0,97.0,0.0,0.0
Congo (Kinshasa),1963,2006,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,110.0,110.0,109.0,110.0,0.0,0.0
Congo (Kinshasa),1964,2006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,0.0,0.0
Congo (Kinshasa),1965,2006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,83.0,83.0,0.0,0.0
Congo (Kinshasa),1966,2006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,102.0,102.0,0.0,0.0
Congo (Kinshasa),1967,2006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,102.0,102.0,0.0,0.0
Congo (Kinshasa),1968,2006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,0.0,0.0
Congo (Kinshasa),1969,2006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,132.0,132.0,0.0,0.0
