Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees,Yield
WORLD,1960,2024,1,0.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,0.0,431.0,0.0,0.0,437.0,0.0,0.0,0.0,868.0,868.0,431.0,868.0,0.0,0.0
WORLD,1961,2024,1,0.0,0.0,0.0,0.0,539.0,0.0,0.0,148.0,0.0,108.0,0.0,0.0,539.0,0.0,0.0,0.0,795.0,795.0,256.0,795.0,0.0,0.0
WORLD,1962,2024,1,0.0,0.0,0.0,0.0,597.0,0.0,0.0,132.0,15.0,63.0,0.0,0.0,597.0,0.0,0.0,0.0,807.0,807.0,195.0,807.0,0.0,0.0
WORLD,1963,2024,1,0.0,0.0,15.0,0.0,600.0,0.0,0.0,149.0,28.0,61.0,0.0,0.0,600.0,0.0,0.0,0.0,823.0,838.0,210.0,838.0,0.0,0.0
WORLD,1964,2024,1,0.0,0.0,28.0,0.0,617.0,0.0,486.0,697.0,30.0,36.0,0.0,0.0,617.0,0.0,0.0,491.0,861.0,1380.0,733.0,1380.0,0.0,0.0
WORLD,1965,2024,1,0.0,0.0,30.0,0.0,534.0,0.0,426.0,695.0,31.0,44.0,0.0,0.0,534.0,0.0,0.0,434.0,840.0,1304.0,739.0,1304.0,0.0,0.0
WORLD,1966,2024,1,0.0,0.0,31.0,0.0,298.0,0.0,266.0,661.0,28.0,39.0,0.0,0.0,298.0,0.0,0.0,271.0,724.0,1026.0,700.0,1026.0,0.0,0.0
WORLD,1967,2024,1,90.0,0.0,28.0,0.0,364.0,0.0,260.0,585.0,35.0,48.0,0.0,0.0,364.0,0.0,0.0,264.0,740.0,1032.0,633.0,1032.0,0.0,8.2222
WORLD,1968,2024,1,90.0,0.0,35.0,0.0,378.0,0.0,236.0,598.0,33.0,75.0,0.0,0.0,378.0,0.0,0.0,239.0,810.0,1084.0,673.0,1084.0,0.0,9.0
WORLD,1969,2024,1,100.0,0.0,33.0,0.0,420.0,0.0,232.0,626.0,34.0,72.0,0.0,0.0,420.0,0.0,0.0,234.0,885.0,1152.0,698.0,1152.0,0.0,8.85
WORLD,1970,2024,1,95.0,0.0,34.0,0.0,450.0,0.0,226.0,648.0,48.0,60.0,0.0,0.0,450.0,0.0,0.0,233.0,939.0,1206.0,708.0,1206.0,0.0,9.8842
WORLD,1971,2024,1,100.0,0.0,48.0,0.0,376.0,0.0,125.0,608.0,54.0,49.0,0.0,0.0,376.0,0.0,0.0,133.0,906.0,1087.0,657.0,1087.0,0.0,9.06
WORLD,1972,2024,1,100.0,0.0,54.0,0.0,309.0,0.0,129.0,655.0,50.0,31.0,0.0,0.0,309.0,0.0,0.0,132.0,859.0,1045.0,686.0,1045.0,0.0,8.59
WORLD,1973,2024,1,110.0,0.0,50.0,0.0,355.0,0.0,180.0,786.0,63.0,21.0,0.0,0.0,355.0,0.0,0.0,182.0,993.0,1225.0,807.0,1225.0,0.0,9.0273
WORLD,1974,2024,1,142.0,0.0,63.0,0.0,343.0,0.0,174.0,848.0,57.0,42.0,0.0,0.0,343.0,0.0,0.0,178.0,1049.0,1290.0,890.0,1290.0,0.0,7.3873
WORLD,1975,2024,1,521.0,0.0,57.0,0.0,355.0,0.0,190.0,880.0,63.0,30.0,0.0,0.0,355.0,0.0,0.0,193.0,1078.0,1328.0,910.0,1328.0,0.0,2.0691
WORLD,1976,2024,1,603.0,0.0,63.0,0.0,272.0,0.0,186.0,944.0,64.0,93.0,0.0,0.0,272.0,0.0,0.0,188.0,1122.0,1373.0,1037.0,1373.0,0.0,1.8607
WORLD,1977,2024,1,711.0,0.0,64.0,0.0,169.0,0.0,100.0,935.0,70.0,151.0,0.0,0.0,169.0,0.0,0.0,104.0,1157.0,1325.0,1086.0,1325.0,0.0,1.6273
WORLD,1978,2024,1,815.0,0.0,70.0,0.0,159.0,0.0,108.0,1028.0,103.0,175.0,0.0,0.0,159.0,0.0,0.0,110.0,1285.0,1465.0,1203.0,1465.0,0.0,1.5767
