Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,1964,2024,1,7.0,0.0,90.0,0.0,130.0,4087.0,10.0,0.3536,0.0,1417.0,65.0,0.0,84.0,0.0,0.0,127.0,1445.0,1579.0,1485.0,1579.0
WORLD,1965,2024,1,10.0,0.0,131.0,0.0,213.0,4550.0,10.0,0.3574,0.0,1610.0,97.0,0.0,126.0,0.0,0.0,210.0,1626.0,1846.0,1710.0,1846.0
WORLD,1966,2024,1,10.0,0.0,168.0,0.0,175.0,4227.0,11.0,0.3591,0.0,1449.0,82.0,0.0,151.0,0.0,0.0,169.0,1518.0,1697.0,1535.0,1697.0
WORLD,1967,2024,1,11.0,0.0,181.0,0.0,229.0,4876.0,11.0,0.3646,4.0,1729.0,101.0,0.0,180.0,0.0,0.0,246.0,1778.0,2035.0,1844.0,2035.0
WORLD,1968,2024,1,11.0,0.0,152.0,0.0,237.0,5259.0,11.0,0.3632,5.0,1843.0,119.0,0.0,193.0,0.0,0.0,259.0,1910.0,2180.0,1976.0,2180.0
WORLD,1969,2024,1,11.0,0.0,155.0,0.0,213.0,4744.0,12.0,0.3596,10.0,1717.0,44.0,0.0,137.0,0.0,0.0,207.0,1706.0,1924.0,1775.0,1924.0
WORLD,1970,2024,1,12.0,0.0,220.0,0.0,296.0,5832.0,16.0,0.3657,11.0,2065.0,139.0,0.0,197.0,0.0,0.0,289.0,2133.0,2434.0,2221.0,2434.0
WORLD,1971,2024,1,16.0,0.0,299.0,0.0,275.0,6499.0,114.0,0.367,11.0,2164.0,129.0,0.0,257.0,0.0,0.0,281.0,2385.0,2682.0,2311.0,2682.0
WORLD,1972,2024,1,114.0,0.0,390.0,0.0,290.0,6746.0,58.0,0.3635,9.0,2327.0,97.0,0.0,350.0,0.0,0.0,281.0,2452.0,2847.0,2439.0,2847.0
WORLD,1973,2024,1,58.0,0.0,361.0,0.0,302.0,6547.0,61.0,0.364,6.0,2190.0,121.0,0.0,352.0,0.0,0.0,297.0,2383.0,2738.0,2325.0,2738.0
WORLD,1974,2024,1,61.0,0.0,337.0,0.0,349.0,6684.0,53.0,0.3655,8.0,2314.0,129.0,0.0,355.0,0.0,0.0,360.0,2443.0,2864.0,2456.0,2864.0
WORLD,1975,2024,1,53.0,0.0,399.0,0.0,356.0,7042.0,45.0,0.3681,2.0,2386.0,145.0,0.0,405.0,0.0,0.0,345.0,2592.0,2990.0,2540.0,2990.0
WORLD,1976,2024,1,45.0,0.0,627.0,0.0,564.0,7410.0,121.0,0.3749,1.0,2536.0,193.0,0.0,522.0,0.0,0.0,558.0,2778.0,3381.0,2738.0,3381.0
WORLD,1977,2024,1,121.0,0.0,509.0,0.0,456.0,7191.0,187.0,0.3746,7.0,2350.0,168.0,0.0,548.0,0.0,0.0,453.0,2694.0,3268.0,2533.0,3268.0
WORLD,1978,2024,1,187.0,0.0,622.0,0.0,575.0,8673.0,218.0,0.3743,7.0,2937.0,198.0,0.0,607.0,0.0,0.0,584.0,3246.0,4017.0,3192.0,4017.0
WORLD,1979,2024,1,218.0,0.0,694.0,0.0,596.0,8663.0,243.0,0.3713,0.0,2950.0,104.0,0.0,634.0,0.0,0.0,589.0,3217.0,4024.0,3147.0,4024.0
WORLD,1980,2024,1,243.0,0.0,726.0,0.0,735.0,10345.0,200.0,0.3751,1.0,3618.0,242.0,0.0,811.0,0.0,0.0,749.0,3880.0,4872.0,3861.0,4872.0
WORLD,1981,2024,1,200.0,0.0,809.0,0.0,756.0,11842.0,126.0,0.367,0.0,4088.0,277.0,0.0,820.0,0.0,0.0,765.0,4346.0,5311.0,4365.0,5311.0
WORLD,1982,2024,1,126.0,0.0,857.0,0.0,838.0,13580.0,155.0,0.3675,32.0,4564.0,314.0,0.0,845.0,19.0,0.0,794.0,4990.0,5910.0,4910.0,5910.0
WORLD,1983,2024,1,155.0,0.0,1066.0,2.0,953.0,13254.0,185.0,0.3684,37.0,4513.0,333.0,0.0,965.0,82.0,0.0,995.0,4883.0,6033.0,4883.0,6033.0
WORLD,1984,2024,1,185.0,0.0,1336.0,0.0,1094.0,15265.0,181.0,0.3672,31.0,5029.0,369.0,0.0,1288.0,91.0,0.0,1107.0,5606.0,6898.0,5429.0,6898.0
WORLD,1985,2024,1,181.0,0.0,1386.0,0.0,1213.0,16730.0,331.0,0.372,17.0,5509.0,419.0,0.0,1301.0,116.0,0.0,1173.0,6223.0,7577.0,5945.0,7577.0
WORLD,1986,2024,1,331.0,0.0,1619.0,0.0,1384.0,18132.0,406.0,0.3768,19.0,6030.0,523.0,406.0,1604.0,505.0,0.0,1419.0,6832.0,8582.0,6572.0,8582.0
WORLD,1987,2024,1,406.0,84.0,1682.0,0.0,1340.0,20757.0,611.0,0.3747,75.0,6803.0,387.0,420.0,1718.0,477.0,0.0,1411.0,7777.0,9594.0,7265.0,9594.0
WORLD,1988,2024,1,611.0,179.0,1734.0,5.0,1607.0,20341.0,660.0,0.3765,81.0,7052.0,437.0,426.0,1788.0,669.0,0.0,1749.0,7658.0,10018.0,7570.0,10018.0
WORLD,1989,2024,1,660.0,180.0,1821.0,39.0,1639.0,20635.0,477.0,0.3757,94.0,7282.0,493.0,424.0,1763.0,1100.0,1.0,1697.0,7752.0,10109.0,7869.0,10109.0
WORLD,1990,2024,1,477.0,230.0,2735.0,1.0,1749.0,23498.0,424.0,0.3731,68.0,8112.0,529.0,454.0,1887.0,1071.0,2.0,1775.0,8768.0,11020.0,8709.0,11020.0
WORLD,1991,2024,1,374.0,273.0,449.0,3.0,1350.0,25473.0,467.0,0.3729,62.0,8857.0,565.0,16.0,1471.0,682.0,3.0,1549.0,9499.0,11422.0,9484.0,11422.0
WORLD,1992,2024,1,467.0,300.0,444.0,6.0,1091.0,22937.0,400.0,0.3759,56.0,8209.0,498.0,0.0,1059.0,379.0,7.0,1133.0,8622.0,10222.0,8763.0,10222.0
WORLD,1993,2024,1,400.0,410.0,669.0,11.0,1294.0,24519.0,429.0,0.3784,47.0,8550.0,631.0,1.0,1551.0,442.0,16.0,1531.0,9277.0,11208.0,9228.0,11208.0
WORLD,1994,2024,1,429.0,368.0,627.0,13.0,1169.0,27038.0,345.0,0.3787,52.0,9546.0,931.0,5.0,1787.0,846.0,9.0,1993.0,10239.0,12661.0,10529.0,12661.0
WORLD,1995,2024,1,345.0,365.0,769.0,78.0,1962.0,30257.0,460.0,0.3752,10.0,10290.0,1001.0,4.0,1692.0,580.0,67.0,1756.0,11352.0,13453.0,11301.0,13453.0
WORLD,1996,2024,1,460.0,433.0,1047.0,45.0,1669.0,28714.0,409.0,0.3763,12.0,9733.0,1012.0,12.0,1713.0,705.0,100.0,1614.0,10805.0,12879.0,10757.0,12879.0
WORLD,1997,2024,1,409.0,403.0,1154.0,85.0,1776.0,31199.0,496.0,0.3782,13.0,10744.0,975.0,3.0,1996.0,671.0,150.0,2015.0,11800.0,14224.0,11732.0,14224.0
WORLD,1998,2024,1,496.0,499.0,1116.0,122.0,1504.0,31890.0,486.0,0.3841,13.0,11195.0,877.0,5.0,1811.0,634.0,113.0,1637.0,12249.0,14382.0,12085.0,14382.0
WORLD,1999,2024,1,446.0,523.0,1638.0,87.0,1087.0,37125.0,1010.0,0.3916,7.0,13042.0,1019.0,0.0,1728.0,365.0,136.0,1820.0,14540.0,16806.0,14068.0,16806.0
WORLD,2000,2024,1,1010.0,531.0,1158.0,150.0,1290.0,35543.0,1027.0,0.3919,19.0,12883.0,1145.0,0.0,1202.0,156.0,94.0,1338.0,13928.0,16276.0,14047.0,16276.0
WORLD,2001,2024,1,1027.0,500.0,976.0,87.0,885.0,33507.0,939.0,0.3947,8.0,12211.0,1174.0,0.0,1034.0,224.0,99.0,1115.0,13224.0,15366.0,13393.0,15366.0
WORLD,2002,2024,1,939.0,389.0,1211.0,90.0,856.0,31654.0,836.0,0.3975,3.0,11329.0,1333.0,2.0,911.0,114.0,78.0,892.0,12581.0,14412.0,12665.0,14412.0
WORLD,2003,2024,1,836.0,477.0,1501.0,140.0,1262.0,36498.0,601.0,0.3974,8.0,12888.0,1876.0,13.0,1325.0,119.0,116.0,1357.0,14505.0,16698.0,14772.0,16698.0
WORLD,2004,2024,1,601.0,499.0,1249.0,108.0,1138.0,40721.0,790.0,0.3971,7.0,13200.0,2682.0,22.0,1293.0,111.0,139.0,1202.0,16169.0,17972.0,15889.0,17972.0
WORLD,2005,2024,1,790.0,682.0,1899.0,240.0,1774.0,45200.0,1011.0,0.4001,11.0,13790.0,3887.0,515.0,1650.0,60.0,135.0,1475.0,18084.0,20349.0,17688.0,20349.0
WORLD,2006,2024,1,1011.0,730.0,1825.0,226.0,1995.0,44315.0,816.0,0.404,11.0,13350.0,4957.0,564.0,1995.0,74.0,300.0,2213.0,17905.0,21129.0,18318.0,21129.0
WORLD,2007,2024,1,816.0,1029.0,2158.0,148.0,2208.0,47143.0,1120.0,0.4047,11.0,13641.0,5263.0,212.0,1907.0,126.0,158.0,2048.0,19078.0,21942.0,18915.0,21942.0
WORLD,2008,2024,1,1120.0,991.0,2444.0,245.0,2495.0,52763.0,1455.0,0.4065,21.0,14539.0,6560.0,460.0,2469.0,106.0,197.0,2475.0,21449.0,25044.0,21120.0,25044.0
WORLD,2009,2024,1,1455.0,1084.0,3299.0,276.0,3181.0,57170.0,2134.0,0.4083,26.0,15353.0,7491.0,386.0,2751.0,129.0,245.0,2957.0,23343.0,27755.0,22870.0,27755.0
WORLD,2010,2024,1,2134.0,1514.0,3620.0,168.0,3495.0,57623.0,2284.0,0.4081,36.0,15775.0,7510.0,516.0,3433.0,241.0,228.0,3386.0,23518.0,29038.0,23321.0,29038.0
WORLD,2011,2024,1,2284.0,1427.0,3985.0,258.0,3935.0,60783.0,3335.0,0.4091,41.0,16547.0,7329.0,565.0,3980.0,254.0,203.0,4081.0,24867.0,31232.0,23917.0,31232.0
WORLD,2012,2024,1,3335.0,1270.0,3931.0,93.0,3899.0,62324.0,4953.0,0.4092,46.0,16610.0,7214.0,216.0,3953.0,539.0,195.0,3940.0,25501.0,32776.0,23870.0,32776.0
WORLD,2013,2024,1,4953.0,1599.0,3927.0,8083.0,3851.0,66621.0,6279.0,0.4082,51.0,17948.0,7860.0,344.0,3829.0,278.0,91.0,3817.0,27197.0,35967.0,25859.0,35967.0
WORLD,2014,2024,1,6279.0,1620.0,4114.0,88.0,3933.0,67562.0,6683.0,0.4088,51.0,18939.0,8115.0,310.0,4066.0,355.0,71.0,3954.0,27621.0,37854.0,27105.0,37854.0
WORLD,2015,2024,1,6683.0,1905.0,4296.0,86.0,4182.0,67139.0,5707.0,0.4106,51.0,20133.0,8315.0,385.0,4171.0,326.0,63.0,4127.0,27567.0,38377.0,28499.0,38377.0
WORLD,2016,2024,1,5659.0,1970.0,4497.0,59.0,4336.0,67935.0,4250.0,0.4094,51.0,20568.0,8521.0,289.0,4638.0,268.0,94.0,4556.0,27813.0,38028.0,29140.0,38028.0
WORLD,2017,2024,1,4250.0,1730.0,4920.0,42.0,4695.0,68915.0,3397.0,0.4111,51.0,20589.0,8546.0,287.0,4834.0,174.0,48.0,4837.0,28330.0,37417.0,29186.0,37417.0
WORLD,2018,2024,1,3397.0,1819.0,5370.0,41.0,5305.0,68673.0,3001.0,0.408,51.0,20252.0,8029.0,380.0,5263.0,179.0,42.0,5180.0,28019.0,36596.0,28332.0,36596.0
WORLD,2019,2024,1,3001.0,1762.0,6014.0,69.0,5783.0,69029.0,2872.0,0.4105,51.0,20288.0,8053.0,428.0,5874.0,189.0,57.0,5801.0,28336.0,37138.0,28392.0,37138.0
WORLD,2020,2024,1,2872.0,1938.0,6172.0,79.0,6145.0,71913.0,3462.0,0.4082,51.0,20538.0,8084.0,375.0,6419.0,175.0,87.0,6327.0,29355.0,38554.0,28673.0,38554.0
WORLD,2021,2024,1,3462.0,2038.0,5278.0,101.0,5235.0,72233.0,2603.0,0.4048,51.0,21797.0,8091.0,385.0,5289.0,163.0,94.0,5129.0,29240.0,37831.0,29939.0,37831.0
WORLD,2022,2024,1,2603.0,2602.0,6307.0,96.0,5864.0,80568.0,3234.0,0.4051,51.0,23397.0,9090.0,130.0,6423.0,0.0,101.0,6956.0,32636.0,42195.0,32538.0,42195.0
